V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
M16,531.0,3393.8,3756.3,4058.4,4600.58,4886.0,5224.69,4802.58,4872.4,4980.1,5863.9,5514.6,5868.0,5875.89,6658.3,7101.4,7375.8,5748.3,5915.4,5759.3
M17,901.0,2597.5,2929.34,2834.4,3088.2,3453.25,3519.84,3697.7,4048.95,4661.04,5668.75,6147.8,6061.7,5973.15,6259.05,6189.35,5963.7,5454.85,5420.0,5561.65
M18,582.0,3875.12,4419.46,4883.26,5411.2,5852.84,6475.2,5727.6,5958.0,6988.6,6512.4,6482.8,6433.6,9045.38,7062.4,6891.6,6413.6,5775.2,4983.4,4782.4
M19,857.0,1908.19,2095.02,2442.79,2720.92,3324.04,3737.31,4129.66,4634.02,4929.67,4964.15,5478.51,5673.78,5613.33,5751.05,5261.98,6275.53,6026.32,5260.44,6278.0
M20,737.0,1870.84,2090.81,2422.31,2785.49,2857.19,3318.5,4095.3,4296.5,4808.26,5037.62,7432.37,9712.9,9902.0,10045.3,10056.3,8687.2,8423.0,7742.5,7399.7
M21,1938.89,2583.13,2775.33,3132.66,4526.67,6161.95,6833.85,6788.55,7334.6,8165.85,7495.8,7834.55,8585.1,9043.9,9806.85,10774.75,10476.5,11016.0,10540.5,10580.5
M22,803.0,1434.19,1641.39,1899.72,2211.32,2267.91,2250.75,2093.1,2441.31,2774.84,2602.76,2826.0,3494.92,5002.05,5052.8,4512.15,4350.8,4609.33,4772.4,5199.0
M23,1072.0,2005.18,2479.18,2994.02,3700.02,4145.38,3952.68,3382.62,4334.0,6777.4,6279.2,3717.2,3559.6,3358.2,3434.8,3644.2,4183.4,4896.2,4876.4,3502.2
M24,817.0,1536.45,1943.58,2342.37,2588.64,2329.38,2808.72,2808.12,3267.06,4140.12,4590.93,5141.19,5279.97,6049.41,6659.25,6907.26,7032.42,6788.04,8569.5,8602.47
M25,794.0,1636.42,1894.48,2078.1,2459.78,2841.52,3140.22,3137.84,3268.5,3470.22,3659.18,3964.26,4264.36,4863.74,5283.64,5789.4,5862.2,6434.6,6655.4,6970.6
M26,2301.45,2656.07,3028.4,3711.2,4381.21,5215.0,4978.0,4644.0,5208.0,5467.0,5718.0,5956.0,6797.0,8529.0,8839.0,8757.0,7748.0,7596.0,7232.0,8216.0
M27,688.0,434.16,495.96,554.16,655.71,761.55,859.14,989.64,1816.92,1920.66,2016.12,2091.3,2206.68,3205.44,3676.83,4721.37,5243.28,6276.36,7026.27,8885.16
M28,850.0,1474.43,1723.11,2042.25,2333.25,2752.0,3605.5,4046.5,4885.0,6447.5,6472.0,8373.0,8765.5,11467.0,12523.5,12166.0,12881.5,13480.5,7086.5,7598.0
M29,830.0,1417.14,1554.67,1740.1,1886.05,2291.72,2387.7,2913.2,3953.4,5362.0,5677.0,6160.0,7157.0,3823.0,4227.0,4481.0,4395.0,4602.0,4829.0,4841.0
M30,2258.64,2471.73,2685.13,3062.63,3401.3,3798.52,4131.23,4582.09,4856.5,4485.47,4684.74,4926.51,5028.27,5500.53,6747.02,6775.18,7079.44,7873.68,8304.85,8966.21
M31,920.0,1620.78,2114.17,1857.05,2297.84,2802.01,3647.49,3712.98,4291.95,4906.95,4738.76,5335.95,5774.62,6798.39,7928.83,7751.34,8468.2,9231.5,9811.36,11374.3
M32,1718.82,1962.42,2178.76,2488.12,2682.14,2645.94,2752.58,2571.18,2878.18,3138.36,3358.42,3840.68,4730.0,5360.6,5025.0,5062.6,4878.6,5099.6,5050.8,5505.4
M33,891.0,2207.48,2091.58,2349.82,3448.44,3634.06,3063.02,2701.38,3024.48,2650.26,2333.84,2113.08,2710.44,3976.18,4421.52,4417.08,3819.84,3816.98,3472.72,4063.7
M34,873.0,4086.84,4785.57,5166.65,6473.86,8118.37,9262.07,8864.66,7852.3,8329.73,7945.42,7082.5,6992.92,7826.13,8061.94,8551.94,9303.02,9592.14,9611.4,9505.0
M35,561.0,1692.5,2193.82,2459.68,3246.8,4748.86,5559.46,5292.42,5029.4,4753.6,4344.6,2897.4,3256.4,3525.2,3070.2,3601.6,3407.4,3500.6,3437.8,3007.0
M36,234.0,96.04,288.4,351.04,421.44,413.36,449.52,984.52,824.76,1110.8,1724.08,2064.24,2496.48,2960.4,3274.64,3970.12,5589.92,9170.12,8793.24,10438.96
M37,669.0,111.61,118.57,139.16,209.91,346.39,387.45,441.35,527.64,842.0,872.97,746.3,872.22,1813.79,2509.23,2835.65,3193.03,3756.92,5400.23,8299.04
M38,775.0,939.6,1227.45,1496.3,1855.3,2274.65,2792.2,3346.3,3764.15,4444.55,5150.1,6021.25,6921.2,7745.8,8388.45,8570.2,8858.75,9702.85,11116.85,12344.85
M39,1106.0,723.86,847.08,968.88,1124.2,1237.3,1275.96,1424.44,1610.44,1826.04,1865.34,2262.4,2931.08,3164.0,3464.8,5180.4,5090.2,5245.8,5217.4,5713.4
M40,870.0,122.37,139.4,176.13,229.52,286.32,395.3,569.39,702.57,988.34,1094.23,1671.44,1782.14,2433.18,2825.79,2994.88,3546.68,5304.05,6379.21,7146.98
M41,797.0,646.49,830.66,1110.91,1612.53,2296.63,2890.79,2670.83,2545.52,3194.47,3324.34,3378.96,4149.8,5088.46,6462.07,5119.36,4035.35,4815.54,7010.89,4328.0
M42,672.0,757.65,828.75,942.05,1025.9,1232.7,1649.6,1715.25,1984.7,2084.3,2327.4,2739.95,3206.3,3787.5,3889.0,3926.5,4380.0,4951.0,4854.0,5091.0
M43,1003.0,558.72,622.44,765.06,989.31,1288.8,1753.62,2346.72,2937.15,4029.03,4671.18,5695.14,6775.05,7537.29,8887.5,9787.14,9683.85,10154.67,9313.98,9246.51
M44,672.0,2264.5,2393.6,2781.7,2720.7,2686.0,3010.8,2717.3,3417.7,3981.0,4085.0,4216.1,4750.5,4660.8,4598.9,4356.6,4016.2,4734.0,5037.7,5105.6
M45,746.0,1526.97,1788.72,2048.49,2429.43,2826.09,3198.27,3341.76,3358.56,3380.52,3431.37,3934.71,4745.88,5128.11,5434.38,6037.95,6516.51,7095.96,7396.23,7678.38
M46,2704.3,3044.7,3180.3,3384.3,3242.35,3312.05,3595.05,3406.8,3505.05,3896.6,3935.15,4323.35,4649.95,5345.25,5383.5,5640.85,5708.2,5906.7,6017.45,6952.3
M47,732.0,1609.68,1921.08,2308.08,2948.7,3969.6,4398.3,4320.0,4745.7,5413.8,6177.0,3402.3,3561.3,4254.0,4734.9,5266.5,5429.7,5457.9,5872.5,6412.2
M48,734.0,556.82,630.74,725.78,914.18,1105.7,1321.34,1429.9,1687.08,2001.62,2289.02,2656.78,3313.24,4134.82,5101.18,5934.92,6366.5,6574.92,6989.74,8629.08
M49,423.0,648.63,763.32,928.35,1156.8,1375.89,1464.87,1647.9,1815.48,2147.28,2660.25,3055.29,3429.69,5946.81,6402.27,7184.37,7854.54,7973.55,8616.99,8504.07
M50,712.0,1393.16,1542.06,2078.31,2858.9,3754.5,5035.56,4757.83,3889.21,4552.85,4305.41,3991.34,4580.0,5235.6,6167.5,5986.5,5006.5,4556.0,4466.5,4350.5
M51,715.0,3886.82,4183.46,4646.48,5989.52,8095.8,8844.8,6872.4,5468.4,5359.6,8348.4,4870.2,5203.0,5039.2,5888.6,7721.4,7292.2,7492.8,6424.6,6068.0
M52,574.0,1336.09,1502.63,1621.38,1785.17,1932.78,2108.35,2255.94,2635.91,3043.16,3582.14,4805.17,5560.5,5959.47,6089.81,6426.15,6852.72,7395.21,8045.42,8543.22
M53,977.0,1180.02,1358.82,1824.94,2678.75,3445.5,4414.75,4320.5,4121.25,4970.0,5399.25,5550.75,6394.5,7624.5,8987.5,9001.75,7292.25,7216.75,7217.0,7242.0
M54,445.0,4110.5,4364.1,5732.9,2827.0,3187.15,3570.1,4335.7,4569.05,4872.85,5274.25,5445.35,5630.2,6299.7,6781.45,7420.2,8232.45,8585.2,8170.85,9184.75
M55,757.0,1794.69,2044.6,2455.44,2851.73,3636.5,4426.24,5070.59,5078.37,4593.38,4052.54,3369.58,2798.0,3128.9,3204.4,2357.91,2576.76,2922.0,3391.19,2833.4
M56,869.0,1741.26,2206.08,2772.26,3439.94,3307.2,2287.44,2407.6,2710.18,3409.82,3764.28,4248.94,4593.82,5378.14,7520.38,8417.04,8164.52,8111.18,8383.62,9360.96
M57,896.0,1200.55,1232.7,1303.3,1416.2,1619.75,1969.75,2151.75,2288.9,2776.95,2613.2,2887.6,3328.9,3740.15,4334.0,4479.5,5005.35,5873.65,5968.25,7016.2
M58,980.0,2051.82,2239.26,2503.46,2843.2,3059.34,3197.0,3157.4,3178.8,3465.4,3381.0,3760.0,4225.2,4304.6,4937.6,5960.8,6573.6,7488.0,8069.4,9598.4
M59,677.0,2695.8,2869.8,3221.8,3698.7,4120.29,4343.09,4091.5,4010.9,4373.29,4209.9,4548.8,4903.0,4700.0,5103.1,5781.1,6189.1,6599.0,6738.0,7425.0
M60,547.0,5438.05,5669.1,6137.25,7866.0,7638.0,8056.7,5632.0,3858.4,3961.05,5494.25,6021.2,6419.85,6565.7,7277.95,7191.25,6512.65,6534.9,6551.0,8267.35
M61,835.0,1550.15,1751.12,1903.71,2192.33,4841.33,5432.19,4908.57,5786.67,7934.0,7320.0,6345.0,8043.0,7592.0,7745.0,8205.0,8636.0,8734.0,8940.0,9608.0
M62,975.0,2061.06,2527.62,3041.5,3541.66,3333.28,3924.92,3174.96,3209.44,4651.64,4292.54,4607.46,5534.72,6620.18,7021.66,6923.6,6811.0,7498.4,8495.8,9474.4
M63,580.0,1444.39,1793.85,2252.66,2761.13,2524.01,2711.08,2422.94,2865.01,3575.16,3754.44,3695.14,4142.07,5190.23,5156.69,5225.47,4591.06,5036.13,5587.5,6762.5
M64,924.0,1621.82,1625.72,1632.36,1643.62,1653.32,1677.74,1719.78,1766.72,1806.02,1834.62,1861.7,2218.5,2499.82,2724.56,2914.08,3042.0,3400.68,4276.46,4350.6
M65,974.0,1076.18,1243.46,1453.23,1729.3,2062.83,2355.61,2566.91,2824.13,3172.9,3468.37,3865.61,4385.73,4825.11,4851.63,5563.15,6255.27,6941.23,7688.57,8523.72
M66,687.0,2242.64,2576.86,2821.86,3429.98,4033.5,4583.32,4857.72,5161.0,5146.8,5039.6,4741.2,4965.4,5983.8,6086.0,6441.8,6102.0,5690.6,5697.2,5863.2
M67,848.0,1770.67,2223.8,2412.04,2766.68,3320.96,3946.5,4326.54,4656.44,4426.0,4055.8,4320.8,4534.0,4302.8,4452.2,4772.8,4898.4,4851.2,4778.8,4912.6
M68,912.0,1482.33,1921.26,2667.57,3368.94,4205.67,5425.62,7447.14,6478.77,6156.09,6044.58,4547.64,6565.89,6352.59,6197.76,8351.82,8716.8,9638.82,9430.02,8999.04
M69,306.0,4939.08,4898.89,4933.19,5165.89,5206.79,5282.09,4611.29,4457.38,4387.3,4742.6,4660.88,4774.8,4448.5,4793.3,4382.1,4128.3,5070.7,5876.7,5782.4
M70,1569.52,1731.24,1799.05,1981.95,2309.06,2679.19,2740.13,2662.98,2837.63,3409.36,3268.46,3533.65,3374.84,3610.24,4142.63,4784.77,4729.16,4559.7,4512.97,4294.07
M71,989.0,2180.48,2464.66,2856.1,3040.49,3339.52,3443.23,3471.99,3575.74,6815.37,6098.12,6025.66,6103.3,6699.88,7530.76,8351.41,8655.88,9381.43,9142.76,8963.63
M72,1001.0,3633.13,3845.33,4153.08,4949.0,5657.66,6293.11,6228.86,6296.3,6327.8,6916.0,6948.4,7404.2,7429.3,8321.9,8770.7,8756.0,8503.0,8414.5,8786.2
M73,563.0,469.46,524.92,575.65,621.98,783.71,820.92,973.56,1283.39,2135.98,2524.0,3034.06,5770.06,5955.4,6145.56,5822.06,6043.04,6296.06,6752.52,7243.14
M74,348.0,1443.0,1941.58,2187.94,2535.48,3410.02,8854.3,9401.96,8169.84,7783.24,5592.72,5130.78,4122.38,4146.7,4308.62,4951.6,4842.88,4731.0,5177.76,5649.54
M75,894.0,1457.19,1601.07,1778.72,2004.8,2435.8,2326.8,2639.5,2836.2,3034.8,4448.1,4552.5,5031.8,6118.1,6548.6,6573.0,6207.0,4222.0,2635.0,2673.0
M76,821.0,466.67,579.05,731.0,950.0,1168.5,1379.0,1735.0,2080.5,2576.5,2840.0,3143.5,4066.5,3748.5,5037.5,5697.5,5986.5,6850.0,8368.0,9783.5
M77,940.0,793.42,859.86,1082.77,1218.32,1478.0,1737.4,2025.2,2553.6,3140.8,3610.4,3878.0,4216.6,4355.4,4692.2,5301.2,5465.0,5169.6,6558.0,6914.2
M78,696.0,1860.86,2029.65,2293.84,2705.6,3135.15,3449.0,3556.0,3797.0,4156.0,4252.0,4567.0,4949.0,5473.0,6246.0,6875.0,7174.0,7262.0,7500.0,7992.0
M79,690.0,2155.58,2263.79,2223.1,3283.49,4356.58,5629.3,7502.15,7605.1,6143.5,5814.7,6359.65,6930.5,7911.5,8203.5,9098.5,3828.5,3203.5,3001.5,3365.0
M80,843.0,5350.8,5960.0,6410.2,7317.8,7639.8,8121.4,7108.4,6899.0,7088.2,7108.0,6073.6,5919.6,5859.0,6929.8,7320.0,7506.6,6149.0,6322.6,6220.4
M81,860.0,4838.1,4748.0,4445.0,4865.19,5453.5,5633.89,5805.29,6348.39,7260.88,8642.5,9354.88,8961.2,8908.4,9371.6,9197.1,8942.5,8251.4,8047.6,8181.3
M82,1145.0,1393.65,1580.44,1752.89,1930.12,2088.87,2278.9,2030.8,2200.3,2658.0,2423.7,2434.5,2363.3,3955.8,2652.4,2678.4,2487.4,2164.1,1845.2,1717.6
M83,233.0,1194.28,1394.76,1644.26,2016.95,2341.53,2615.78,2855.57,2957.14,3196.73,3155.0,3167.98,3247.5,3094.71,3110.79,3272.7,3715.08,3721.51,3928.03,3994.0
M84,771.0,736.05,818.9,923.36,1087.64,1423.28,1669.6,2256.5,2345.9,2638.2,2836.8,4673.87,5021.4,4960.7,6223.4,6009.8,4951.3,4771.0,4512.2,4531.7
M85,463.0,1855.17,1969.13,2202.72,3212.31,4392.33,4888.69,4803.6,5183.85,5749.35,5236.1,5945.7,6066.25,6387.65,6881.0,7657.65,7811.5,8069.0,7730.0,7769.5
M86,1000.0,1956.61,2295.86,2593.29,3003.81,3183.75,3350.94,3225.91,3812.88,4260.7,4108.14,4396.7,5273.58,7328.25,7219.31,6548.4,6621.26,7037.04,7249.14,7830.0
M87,416.0,1415.76,1760.96,2196.6,2765.32,2985.72,3016.18,2641.6,3346.8,5351.8,5035.6,2648.6,2659.6,2544.6,2362.8,2487.8,2728.4,3353.0,3031.8,2058.6
M88,932.0,839.86,1083.36,1326.82,1555.92,1385.54,1704.08,1737.16,1913.56,2487.28,2696.24,2982.52,3165.84,3580.66,4007.78,4109.02,4325.1,4122.88,5304.48,5445.02
M89,988.0,1756.96,2011.22,2286.88,2712.8,3339.92,3678.94,4077.32,4137.56,4302.8,4840.8,5067.32,4996.88,5375.82,5948.76,6644.8,7047.6,7487.6,7803.8,8340.6
M90,860.0,2769.21,3048.48,3539.23,4103.69,5008.0,5918.0,6220.0,6150.0,6259.0,6453.0,6695.0,7163.0,8050.0,8731.0,9537.0,9595.0,8911.0,8407.0,8355.0
M91,895.0,1042.42,1110.92,1209.88,1552.14,1658.58,1779.02,1926.34,2509.78,2668.32,2812.22,2937.3,2998.64,3652.06,3864.38,4235.66,4374.38,4880.84,6341.14,7311.92
M92,845.0,1354.6,1459.52,1716.36,1933.58,2212.33,2437.2,2521.9,2833.77,2797.76,3134.98,3678.7,3867.95,3885.5,5014.47,5263.46,5595.9,6329.87,6867.47,11633.17
M93,809.0,656.33,701.29,733.62,978.87,1303.64,1777.69,1865.94,2293.68,2319.71,2493.69,2826.05,3228.19,3780.0,3937.94,4435.61,5227.23,6273.5,7136.57,7449.37
M94,941.0,3735.4,3969.1,4131.35,4333.4,4409.6,4503.05,4357.6,4505.8,4645.8,5256.7,6142.6,7436.0,9396.5,8917.5,9370.0,9358.5,8923.5,8397.5,8804.5
M95,442.0,2190.5,2130.24,2223.98,2626.92,2597.06,2912.02,3059.4,3115.02,2550.3,2268.0,2357.94,2930.42,2937.76,3013.44,3527.64,3879.96,3996.44,3850.54,4105.64
M96,771.0,3947.02,4907.5,5425.42,5866.84,6211.48,6689.54,6896.62,6749.48,6847.42,6823.48,6740.24,7023.82,7303.28,7661.38,8816.56,9366.04,9715.2,9485.74,9974.0
M97,445.0,1618.91,2077.06,2256.05,2638.11,3048.69,3625.17,3910.42,4299.06,3852.6,3618.8,3918.6,4173.8,4137.6,4214.2,4489.6,4578.0,4512.4,4419.4,4507.0
M98,826.0,1277.87,1437.7,1216.39,1459.31,2052.0,2097.0,1752.0,1295.0,1217.0,3084.0,2719.0,2634.0,2485.0,2689.0,2801.0,2465.0,2135.0,1801.0,1710.0
M99,576.0,1307.2,2556.1,2647.0,2575.0,3064.3,3411.6,5317.2,3785.3,4701.4,3309.6,4186.7,3754.7,3852.0,3192.0,4865.6,4231.0,3781.4,2379.3,2723.0
M100,622.0,1546.5,1615.7,1868.7,2041.5,2303.3,2615.0,2123.0,2295.0,2515.0,2011.0,2166.0,2210.0,2540.0,2385.0,3145.0,3157.0,3463.0,3539.0,4167.0
M101,1204.0,3834.0,4133.0,5134.0,5858.0,6370.0,5602.0,5345.0,5240.0,5152.0,5773.0,6248.0,5368.0,5726.0,6145.0,7808.0,7448.0,8869.0,8302.0,9070.0
M102,683.0,1343.5,1447.0,1465.1,1768.8,1660.3,1630.9,1325.7,950.5,989.5,1625.1,1809.6,1872.4,2130.9,2093.4,2064.8,1809.7,1640.3,1937.0,2370.7
M103,1283.4,1462.2,1492.6,1740.6,2159.2,5001.8,5326.0,4860.0,7786.0,9160.0,8560.0,7120.0,7260.0,4820.0,4740.0,5140.0,4120.0,3780.0,3980.0,4220.0
M104,601.0,1928.6,2336.6,2956.7,3159.9,3010.2,3795.8,2503.8,2158.6,3148.5,2819.2,3504.1,4132.7,4635.9,4277.9,4460.0,4383.0,4404.0,4402.0,5144.0
M105,885.0,3247.5,3803.8,4710.6,6034.3,6190.5,6018.2,5731.1,6124.5,6912.7,7067.9,6899.8,7263.1,7279.2,7115.2,6958.4,5961.1,6322.8,6499.0,7402.0
M106,873.0,3267.05,3235.7,4191.1,3456.1,3779.15,4298.05,3641.75,3333.6,3928.7,4545.2,4474.05,3852.55,4872.4,5531.65,6406.35,5817.1,5525.3,5294.5,5297.4
M107,279.0,2717.0,4428.6,5533.8,7271.95,6490.95,1152.85,979.0,1102.15,1194.85,1123.5,1374.25,1266.25,1404.1,1650.75,2140.65,1757.35,1671.3,1747.0,2085.95
M108,941.0,2851.68,3076.8,3241.84,3239.28,4195.28,4374.8,4119.68,5371.36,5418.64,5991.2,5073.12,4878.16,5432.72,5655.28,9712.32,6237.2,6003.52,8888.88,9321.84
M109,718.0,3164.4,3288.5,3256.45,5790.5,6710.0,9365.0,6825.0,6310.0,7075.0,6575.0,5335.0,5545.0,3650.0,2545.0,3450.0,1740.0,360.0,3210.0,2280.0
M110,603.0,1422.65,1633.1,1858.4,2004.25,2516.85,2930.85,3316.3,3563.65,3947.25,4308.15,4628.05,5015.75,4899.25,5696.15,6483.45,742.6,5794.6,4617.2,5971.1
M111,795.0,6896.4,7032.0,6502.0,5602.0,6701.2,6845.2,7518.8,8739.6,10129.2,9226.0,9667.6,7762.4,8378.0,7612.4,199.6,7759.6,7802.0,2109.6,6560.4
M112,80.0,2140.55,2451.15,2964.45,3619.1,3764.25,4156.0,3374.55,4268.55,5290.7,5635.2,5845.9,7286.05,7686.95,8680.0,8305.0,7825.0,8025.0,7785.0,9430.0
M113,512.0,2085.05,2068.75,1978.9,2472.25,2819.6,3016.45,2731.85,2506.75,5833.6,4474.0,7208.75,15586.15,25052.3,25805.0,16960.0,10480.0,7475.0,11160.0,12505.0
M114,903.0,780.2,827.6,874.9,695.9,881.4,1188.1,1478.3,2087.4,975.0,1475.1,2137.5,2826.4,3867.3,5057.9,5982.1,7016.4,6686.8,6658.9,2828.4
M115,743.0,237.04,269.1,358.82,486.92,597.62,752.56,947.72,1131.28,1312.6,1500.14,1766.78,1966.26,2465.1,3644.38,4284.78,4706.34,5213.12,5935.9,6479.36
M116,996.0,1821.61,2423.21,3057.39,4393.68,4226.48,5031.0,3610.0,4068.0,6809.0,6583.0,3460.0,4745.0,4936.0,2481.0,1598.0,587.0,1250.0,1455.0,618.0
M117,831.0,2085.8,2513.8,3034.4,3588.5,3947.2,4146.4,3299.9,3801.1,5190.9,4637.6,5232.5,7034.4,8543.3,8236.8,8328.8,8353.7,10565.4,11281.7,5541.9
M118,548.0,4500.9,5850.85,6881.2,8114.6,7898.1,8595.55,3443.05,3587.0,6144.8,3535.8,245.2,4745.9,7728.2,7303.3,7809.05,3659.1,5924.35,5004.9,9385.95
M119,791.0,5832.8,5815.04,5981.24,5905.0,5427.64,5168.82,5195.24,5605.68,6436.12,6610.6,5569.16,6463.16,6883.56,5939.64,6334.18,1558.0,5533.68,5446.26,6532.78
M120,698.0,492.8,772.25,1049.35,1378.45,1446.2,1752.5,1871.0,2294.5,2643.75,2825.9,3643.45,4984.35,6595.35,8141.45,8500.0,9115.7,8088.35,6772.2,9537.8
M121,837.0,2050.2,2077.3,2116.78,2155.18,2243.52,2380.02,2378.9,2100.38,2520.48,2496.34,2660.3,2816.78,2891.88,3043.0,3373.08,4412.32,5624.0,412.0,4172.0
M122,685.0,2193.45,2295.9,2749.15,2734.0,3259.7,3661.2,4521.35,5607.65,6330.75,7058.5,8031.45,8689.9,7906.9,7795.55,5036.15,4601.45,6746.7,4827.35,6615.0
M123,509.0,1561.8,1847.7,2154.55,2913.3,3318.55,3564.0,3605.65,4765.0,4965.0,4990.0,405.0,5040.0,5225.0,5690.0,6170.0,3775.0,7855.0,7985.0,9815.0
M124,788.0,1825.0,2073.0,2301.0,2175.0,2609.0,2886.0,2098.0,3659.0,3514.0,4108.0,4046.99,7011.99,5485.99,5395.0,6004.0,6129.0,4791.0,4753.0,4206.0
M125,595.0,3359.2,4272.8,5838.0,4062.0,3151.2,1734.8,2029.6,3686.0,5754.0,3984.4,3734.8,3250.0,4376.4,4474.8,3816.8,2790.4,4068.0,4270.8,3671.6
M126,574.0,1189.1,1522.0,1954.8,2362.6,2151.2,1950.3,1830.6,2353.1,2980.0,3314.4,3719.8,3912.4,3860.2,4807.9,4719.0,4450.2,6249.8,7761.4,10113.8
M127,774.0,3466.12,3606.6,3955.0,4600.0,4701.0,3936.0,3147.0,2555.0,4840.0,672.0,4639.0,5706.0,8656.0,9325.0,7108.0,6192.0,3748.0,1649.0,6165.0
M128,1000.0,1890.0,2084.0,3091.0,3920.0,3700.0,3425.5,2950.5,2387.0,3243.5,4613.0,4829.5,4160.5,8290.5,9227.5,7182.0,3622.0,4894.5,6023.0,8049.5
M129,855.0,4210.0,4219.5,4554.5,5629.0,5496.5,5677.0,4181.0,3281.5,4740.0,485.0,3415.0,3975.0,6175.0,5855.0,4420.0,1355.0,2560.0,2705.0,3815.0
M130,1022.0,2733.3,2825.46,2947.14,3078.22,2659.36,2866.6,2980.4,3204.6,3249.0,3173.2,2801.2,4391.4,4617.6,1906.8,2307.8,634.6,3389.2,3387.4,2815.8
M131,1085.0,436.22,543.5,622.74,723.82,896.52,1070.56,1276.4,1625.3,1943.3,2167.9,2407.78,2956.58,3575.08,4138.5,4856.04,5763.38,6722.46,7895.96,8313.9
M132,870.0,2991.1,3069.9,2991.3,3002.3,3506.8,3798.6,4193.0,5759.1,6406.0,6568.5,6727.0,7027.7,7444.7,8003.8,8629.9,8251.1,8941.5,9484.5,10395.3
M133,155.0,3997.2,4260.0,3913.95,4767.3,4773.45,4784.55,5398.95,6637.95,7480.05,7134.3,7133.4,7405.95,7921.8,7636.05,6775.35,1399.65,5427.6,6233.55,7554.3
M134,565.0,1198.5,1322.5,1644.5,1934.0,2160.0,2311.0,2596.0,3109.0,3990.0,5217.5,5846.5,6171.0,7061.5,6747.5,6221.5,6009.5,5205.5,5264.0,5640.0
M135,781.0,5690.0,6243.0,6734.5,6332.0,6845.5,7056.0,6829.0,5674.5,6740.0,6977.0,6558.5,5968.5,6200.0,7613.0,7778.5,2413.0,6567.5,5868.0,3307.0
M136,898.0,5391.9,5482.75,5909.5,6248.85,6179.75,5948.7,6033.7,3894.35,4877.15,5802.15,5494.65,5815.1,4061.25,5611.9,5498.5,5495.1,5496.95,5584.7,5470.1
M137,1034.0,3145.8,3352.2,3643.8,4255.0,5358.4,6453.8,2599.4,123.6,4027.8,3344.6,1537.8,2252.8,3536.6,3683.4,3937.0,4128.4,4063.0,3795.2,4135.8
