firmness,hue,saturation,brightness,color_category,sound_db,weight_g,size_cm3,ripeness
85.8,95,82,46,dark green,73,247,101,
60.7,66,76,69,green,67,214,193,
33.9,5,32,16,black,45,201,271,
21.3,324,51,43,purple,47,210,258,
13.9,20,40,17,black,37,185,298,
26.5,4,56,19,black,48,197,232,
49.8,303,69,54,purple,63,258,239,
12.0,17,54,21,black,39,175,285,
83.7,98,89,68,dark green,78,291,120,hard
46.6,288,70,34,purple,62,221,201,
40.3,324,52,48,purple,63,215,203,
87.6,106,99,58,dark green,74,283,156,
22.2,21,41,33,black,55,189,275,
58.3,272,62,57,purple,58,242,239,
80.2,99,89,69,dark green,73,244,128,
97.0,96,84,53,dark green,78,224,125,
69.4,83,72,70,green,66,238,153,
30.7,298,79,45,purple,47,177,220,firm-ripe
54.6,325,66,39,purple,63,248,213,breaking
60.7,75,73,51,green,65,234,162,
97.7,103,89,69,dark green,72,281,132,
10.6,4,42,26,black,43,194,291,
65.4,69,80,78,green,65,209,176,
11.9,4,51,24,black,33,158,294,ripe
52.7,272,52,56,purple,60,229,237,
93.9,111,81,69,dark green,76,222,148,
59.0,297,66,34,purple,62,182,232,
60.9,74,64,72,green,66,268,175,pre-conditioned
34.1,2,32,10,black,52,181,279,firm-ripe
12.8,1,41,28,black,39,208,276,
51.7,270,66,37,purple,59,251,218,
85.5,119,97,67,dark green,76,248,114,
84.4,79,97,66,dark green,75,286,118,
52.9,282,69,54,purple,62,246,220,
68.3,70,78,56,green,66,244,152,
16.6,8,38,17,black,39,210,299,
86.1,119,90,40,dark green,72,241,143,
13.2,26,36,23,black,43,211,288,
22.3,291,60,52,purple,48,180,245,
82.1,104,99,64,dark green,75,247,127,
66.8,76,74,71,green,66,226,181,
13.6,12,46,35,black,41,211,261,
23.4,26,48,31,black,50,230,271,
28.3,287,57,37,purple,47,173,251,
70.4,77,60,78,green,65,211,142,
55.6,282,63,32,purple,58,248,226,
56.6,291,64,53,purple,62,242,227,breaking
85.3,108,93,56,dark green,75,221,101,
47.2,284,74,52,purple,58,253,218,
10.3,1,54,35,black,34,152,265,
83.4,96,88,46,dark green,75,258,117,
18.5,3,56,17,black,40,212,269,
53.3,324,59,48,purple,59,208,183,
34.8,293,50,46,purple,56,181,245,
18.9,15,30,30,black,33,164,283,
35.0,29,36,36,black,45,197,276,
10.7,21,40,10,black,42,185,285,
90.7,98,75,47,dark green,72,281,136,
36.5,22,54,10,black,52,214,270,firm-ripe
18.8,12,43,36,black,31,166,299,
90.8,75,82,57,dark green,72,243,125,
93.2,67,76,42,dark green,75,252,147,
17.4,24,36,12,black,35,193,289,
54.7,327,51,51,purple,58,229,191,
15.0,13,53,12,black,32,194,293,ripe
90.5,73,76,66,dark green,73,234,125,
32.2,28,48,13,black,49,161,220,firm-ripe
58.1,278,63,30,purple,63,256,183,
42.0,312,64,57,purple,60,217,214,breaking
44.3,302,70,51,purple,61,249,234,
49.1,284,60,37,purple,62,224,223,
98.8,77,95,51,dark green,77,281,135,
94.1,83,80,58,dark green,72,254,134,hard
21.6,17,36,19,black,47,182,240,
14.0,4,40,17,black,37,188,274,
61.5,63,87,75,green,65,261,162,pre-conditioned
17.8,27,30,36,black,40,190,272,ripe
