V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
M31,1822.88,1620.78,2114.17,1857.05,2297.84,2802.01,3647.49,3712.98,4291.95,4906.95,4738.76,5335.95,5774.62,6798.39,7928.83,7751.34,8468.2,9231.5,9811.36,11374.3
M32,1718.82,1962.42,2178.76,2488.12,2682.14,2645.94,2752.58,2571.18,2878.18,3138.36,3358.42,3840.68,4730,5360.6,5025,5062.6,4878.6,5099.6,5050.8,5505.4
M33,2009.28,2207.48,2091.58,2349.82,3448.44,3634.06,3063.02,2701.38,3024.48,2650.26,2333.84,2113.08,2710.44,3976.18,4421.52,4417.08,3819.84,3816.98,3472.72,4063.7
M34,3637.13,4086.84,4785.57,5166.65,6473.86,8118.37,9262.07,8864.66,7852.3,8329.73,7945.42,7082.5,6992.92,7826.13,8061.94,8551.94,9303.02,9592.14,9611.4,9505
M35,1461.57,1692.5,2193.82,2459.68,3246.8,4748.86,5559.46,5292.42,5029.4,4753.6,4344.6,2897.4,3256.4,3525.2,3070.2,3601.6,3407.4,3500.6,3437.8,3007
M36,48,96.04,288.4,351.04,421.44,413.36,449.52,984.52,824.76,1110.8,1724.08,2064.24,2496.48,2960.4,3274.64,3970.12,5589.92,9170.12,8793.24,10438.96
M37,80.17,111.61,118.57,139.16,209.91,346.39,387.45,441.35,527.64,842,872.97,746.3,872.22,1813.79,2509.23,2835.65,3193.03,3756.92,5400.23,8299.04
M38,773.4,939.6,1227.45,1496.3,1855.3,2274.65,2792.2,3346.3,3764.15,4444.55,5150.1,6021.25,6921.2,7745.8,8388.45,8570.2,8858.75,9702.85,11116.85,12344.85
M39,565.22,723.86,847.08,968.88,1124.2,1237.3,1275.96,1424.44,1610.44,1826.04,1865.34,2262.4,2931.08,3164,3464.8,5180.4,5090.2,5245.8,5217.4,5713.4
M40,111.47,122.37,139.4,176.13,229.52,286.32,395.3,569.39,702.57,988.34,1094.23,1671.44,1782.14,2433.18,2825.79,2994.88,3546.68,5304.05,6379.21,7146.98
M41,668.98,646.49,830.66,1110.91,1612.53,2296.63,2890.79,2670.83,2545.52,3194.47,3324.34,3378.96,4149.8,5088.46,6462.07,5119.36,4035.35,4815.54,7010.89,4328
M42,657.95,757.65,828.75,942.05,1025.9,1232.7,1649.6,1715.25,1984.7,2084.3,2327.4,2739.95,3206.3,3787.5,3889,3926.5,4380,4951,4854,5091
M43,528.39,558.72,622.44,765.06,989.31,1288.8,1753.62,2346.72,2937.15,4029.03,4671.18,5695.14,6775.05,7537.29,8887.5,9787.14,9683.85,10154.67,9313.98,9246.51
M44,1608.8,2264.5,2393.6,2781.7,2720.7,2686,3010.8,2717.3,3417.7,3981,4085,4216.1,4750.5,4660.8,4598.9,4356.6,4016.2,4734,5037.7,5105.6
M45,1368.12,1526.97,1788.72,2048.49,2429.43,2826.09,3198.27,3341.76,3358.56,3380.52,3431.37,3934.71,4745.88,5128.11,5434.38,6037.95,6516.51,7095.96,7396.23,7678.38
M46,2704.3,3044.7,3180.3,3384.3,3242.35,3312.05,3595.05,3406.8,3505.05,3896.6,3935.15,4323.35,4649.95,5345.25,5383.5,5640.85,5708.2,5906.7,6017.45,6952.3
M47,1385.58,1609.68,1921.08,2308.08,2948.7,3969.6,4398.3,4320,4745.7,5413.8,6177,3402.3,3561.3,4254,4734.9,5266.5,5429.7,5457.9,5872.5,6412.2
M48,512.66,556.82,630.74,725.78,914.18,1105.7,1321.34,1429.9,1687.08,2001.62,2289.02,2656.78,3313.24,4134.82,5101.18,5934.92,6366.5,6574.92,6989.74,8629.08
M49,554.64,648.63,763.32,928.35,1156.8,1375.89,1464.87,1647.9,1815.48,2147.28,2660.25,3055.29,3429.69,5946.81,6402.27,7184.37,7854.54,7973.55,8616.99,8504.07
M50,1521.93,1393.16,1542.06,2078.31,2858.9,3754.5,5035.56,4757.83,3889.21,4552.85,4305.41,3991.34,4580,5235.6,6167.5,5986.5,5006.5,4556,4466.5,4350.5
M51,3364.42,3886.82,4183.46,4646.48,5989.52,8095.8,8844.8,6872.4,5468.4,5359.6,8348.4,4870.2,5203,5039.2,5888.6,7721.4,7292.2,7492.8,6424.6,6068
M52,1169.7,1336.09,1502.63,1621.38,1785.17,1932.78,2108.35,2255.94,2635.91,3043.16,3582.14,4805.17,5560.5,5959.47,6089.81,6426.15,6852.72,7395.21,8045.42,8543.22
M53,1195.13,1180.02,1358.82,1824.94,2678.75,3445.5,4414.75,4320.5,4121.25,4970,5399.25,5550.75,6394.5,7624.5,8987.5,9001.75,7292.25,7216.75,7217,7242
M54,3607.55,4110.5,4364.1,5732.9,2827,3187.15,3570.1,4335.7,4569.05,4872.85,5274.25,5445.35,5630.2,6299.7,6781.45,7420.2,8232.45,8585.2,8170.85,9184.75
M55,1443.14,1794.69,2044.6,2455.44,2851.73,3636.5,4426.24,5070.59,5078.37,4593.38,4052.54,3369.58,2798,3128.9,3204.4,2357.91,2576.76,2922,3391.19,2833.4
M56,1262.46,1741.26,2206.08,2772.26,3439.94,3307.2,2287.44,2407.6,2710.18,3409.82,3764.28,4248.94,4593.82,5378.14,7520.38,8417.04,8164.52,8111.18,8383.62,9360.96
M57,826.25,1200.55,1232.7,1303.3,1416.2,1619.75,1969.75,2151.75,2288.9,2776.95,2613.2,2887.6,3328.9,3740.15,4334,4479.5,5005.35,5873.65,5968.25,7016.2
M58,1877.92,2051.82,2239.26,2503.46,2843.2,3059.34,3197,3157.4,3178.8,3465.4,3381,3760,4225.2,4304.6,4937.6,5960.8,6573.6,7488,8069.4,9598.4
M59,2741.5,2695.8,2869.8,3221.8,3698.7,4120.29,4343.09,4091.5,4010.9,4373.29,4209.9,4548.8,4903,4700,5103.1,5781.1,6189.1,6599,6738,7425
M60,5597.45,5438.05,5669.1,6137.25,7866,7638,8056.7,5632,3858.4,3961.05,5494.25,6021.2,6419.85,6565.7,7277.95,7191.25,6512.65,6534.9,6551,8267.35
M61,1346.81,1550.15,1751.12,1903.71,2192.33,4841.33,5432.19,4908.57,5786.67,7934,7320,6345,8043,7592,7745,8205,8636,8734,8940,9608
M62,1523,2061.06,2527.62,3041.5,3541.66,3333.28,3924.92,3174.96,3209.44,4651.64,4292.54,4607.46,5534.72,6620.18,7021.66,6923.6,6811,7498.4,8495.8,9474.4
M63,1136.45,1444.39,1793.85,2252.66,2761.13,2524.01,2711.08,2422.94,2865.01,3575.16,3754.44,3695.14,4142.07,5190.23,5156.69,5225.47,4591.06,5036.13,5587.5,6762.5
M64,1617.36,1621.82,1625.72,1632.36,1643.62,1653.32,1677.74,1719.78,1766.72,1806.02,1834.62,1861.7,2218.5,2499.82,2724.56,2914.08,3042,3400.68,4276.46,4350.6
M65,925.52,1076.18,1243.46,1453.23,1729.3,2062.83,2355.61,2566.91,2824.13,3172.9,3468.37,3865.61,4385.73,4825.11,4851.63,5563.15,6255.27,6941.23,7688.57,8523.72
M66,1970.82,2242.64,2576.86,2821.86,3429.98,4033.5,4583.32,4857.72,5161,5146.8,5039.6,4741.2,4965.4,5983.8,6086,6441.8,6102,5690.6,5697.2,5863.2
M67,1472.96,1770.67,2223.8,2412.04,2766.68,3320.96,3946.5,4326.54,4656.44,4426,4055.8,4320.8,4534,4302.8,4452.2,4772.8,4898.4,4851.2,4778.8,4912.6
M68,904.41,1482.33,1921.26,2667.57,3368.94,4205.67,5425.62,7447.14,6478.77,6156.09,6044.58,4547.64,6565.89,6352.59,6197.76,8351.82,8716.8,9638.82,9430.02,8999.04
M69,4591.48,4939.08,4898.89,4933.19,5165.89,5206.79,5282.09,4611.29,4457.38,4387.3,4742.6,4660.88,4774.8,4448.5,4793.3,4382.1,4128.3,5070.7,5876.7,5782.4
M70,1569.52,1731.24,1799.05,1981.95,2309.06,2679.19,2740.13,2662.98,2837.63,3409.36,3268.46,3533.65,3374.84,3610.24,4142.63,4784.77,4729.16,4559.7,4512.97,4294.07
M71,1972.24,2180.48,2464.66,2856.1,3040.49,3339.52,3443.23,3471.99,3575.74,6815.37,6098.12,6025.66,6103.3,6699.88,7530.76,8351.41,8655.88,9381.43,9142.76,8963.63
M72,3283.94,3633.13,3845.33,4153.08,4949,5657.66,6293.11,6228.86,6296.3,6327.8,6916,6948.4,7404.2,7429.3,8321.9,8770.7,8756,8503,8414.5,8786.2
M73,440.5,469.46,524.92,575.65,621.98,783.71,820.92,973.56,1283.39,2135.98,2524,3034.06,5770.06,5955.4,6145.56,5822.06,6043.04,6296.06,6752.52,7243.14
M74,1076.9,1443,1941.58,2187.94,2535.48,3410.02,8854.3,9401.96,8169.84,7783.24,5592.72,5130.78,4122.38,4146.7,4308.62,4951.6,4842.88,4731,5177.76,5649.54
M75,1338.08,1457.19,1601.07,1778.72,2004.8,2435.8,2326.8,2639.5,2836.2,3034.8,4448.1,4552.5,5031.8,6118.1,6548.6,6573,6207,4222,2635,2673
M76,383.86,466.67,579.05,731,950,1168.5,1379,1735,2080.5,2576.5,2840,3143.5,4066.5,3748.5,5037.5,5697.5,5986.5,6850,8368,9783.5
M77,733.81,793.42,859.86,1082.77,1218.32,1478,1737.4,2025.2,2553.6,3140.8,3610.4,3878,4216.6,4355.4,4692.2,5301.2,5465,5169.6,6558,6914.2
M78,1666.24,1860.86,2029.65,2293.84,2705.6,3135.15,3449,3556,3797,4156,4252,4567,4949,5473,6246,6875,7174,7262,7500,7992
M79,2107.82,2155.58,2263.79,2223.1,3283.49,4356.58,5629.3,7502.15,7605.1,6143.5,5814.7,6359.65,6930.5,7911.5,8203.5,9098.5,3828.5,3203.5,3001.5,3365
M80,5097.6,5350.8,5960,6410.2,7317.8,7639.8,8121.4,7108.4,6899,7088.2,7108,6073.6,5919.6,5859,6929.8,7320,7506.6,6149,6322.6,6220.4
M81,4603.1,4838.1,4748,4445,4865.19,5453.5,5633.89,5805.29,6348.39,7260.88,8642.5,9354.88,8961.2,8908.4,9371.6,9197.1,8942.5,8251.4,8047.6,8181.3
M82,1274,1393.65,1580.44,1752.89,1930.12,2088.87,2278.9,2030.8,2200.3,2658,2423.7,2434.5,2363.3,3955.8,2652.4,2678.4,2487.4,2164.1,1845.2,1717.6
M83,1093.3,1194.28,1394.76,1644.26,2016.95,2341.53,2615.78,2855.57,2957.14,3196.73,3155,3167.98,3247.5,3094.71,3110.79,3272.7,3715.08,3721.51,3928.03,3994
M84,659.94,736.05,818.9,923.36,1087.64,1423.28,1669.6,2256.5,2345.9,2638.2,2836.8,4673.87,5021.4,4960.7,6223.4,6009.8,4951.3,4771,4512.2,4531.7
M85,1386.75,1855.17,1969.13,2202.72,3212.31,4392.33,4888.69,4803.6,5183.85,5749.35,5236.1,5945.7,6066.25,6387.65,6881,7657.65,7811.5,8069,7730,7769.5
M86,1642.15,1956.61,2295.86,2593.29,3003.81,3183.75,3350.94,3225.91,3812.88,4260.7,4108.14,4396.7,5273.58,7328.25,7219.31,6548.4,6621.26,7037.04,7249.14,7830
M87,1102.46,1415.76,1760.96,2196.6,2765.32,2985.72,3016.18,2641.6,3346.8,5351.8,5035.6,2648.6,2659.6,2544.6,2362.8,2487.8,2728.4,3353,3031.8,2058.6
M88,691.72,839.86,1083.36,1326.82,1555.92,1385.54,1704.08,1737.16,1913.56,2487.28,2696.24,2982.52,3165.84,3580.66,4007.78,4109.02,4325.1,4122.88,5304.48,5445.02
M89,1509.18,1756.96,2011.22,2286.88,2712.8,3339.92,3678.94,4077.32,4137.56,4302.8,4840.8,5067.32,4996.88,5375.82,5948.76,6644.8,7047.6,7487.6,7803.8,8340.6
M90,2695.92,2769.21,3048.48,3539.23,4103.69,5008,5918,6220,6150,6259,6453,6695,7163,8050,8731,9537,9595,8911,8407,8355
M91,905.12,1042.42,1110.92,1209.88,1552.14,1658.58,1779.02,1926.34,2509.78,2668.32,2812.22,2937.3,2998.64,3652.06,3864.38,4235.66,4374.38,4880.84,6341.14,7311.92
M92,1234.05,1354.6,1459.52,1716.36,1933.58,2212.33,2437.2,2521.9,2833.77,2797.76,3134.98,3678.7,3867.95,3885.5,5014.47,5263.46,5595.9,6329.87,6867.47,11633.17
M93,459.28,656.33,701.29,733.62,978.87,1303.64,1777.69,1865.94,2293.68,2319.71,2493.69,2826.05,3228.19,3780,3937.94,4435.61,5227.23,6273.5,7136.57,7449.37
M94,3489.5,3735.4,3969.1,4131.35,4333.4,4409.6,4503.05,4357.6,4505.8,4645.8,5256.7,6142.6,7436,9396.5,8917.5,9370,9358.5,8923.5,8397.5,8804.5
M95,2137.06,2190.5,2130.24,2223.98,2626.92,2597.06,2912.02,3059.4,3115.02,2550.3,2268,2357.94,2930.42,2937.76,3013.44,3527.64,3879.96,3996.44,3850.54,4105.64
M96,3709.24,3947.02,4907.5,5425.42,5866.84,6211.48,6689.54,6896.62,6749.48,6847.42,6823.48,6740.24,7023.82,7303.28,7661.38,8816.56,9366.04,9715.2,9485.74,9974
M97,1393.7,1618.91,2077.06,2256.05,2638.11,3048.69,3625.17,3910.42,4299.06,3852.6,3618.8,3918.6,4173.8,4137.6,4214.2,4489.6,4578,4512.4,4419.4,4507
M98,1164.97,1277.87,1437.7,1216.39,1459.31,2052,2097,1752,1295,1217,3084,2719,2634,2485,2689,2801,2465,2135,1801,1710
M99,1870,1307.2,2556.1,2647,2575,3064.3,3411.6,5317.2,3785.3,4701.4,3309.6,4186.7,3754.7,3852,3192,4865.6,4231,3781.4,2379.3,2723
M100,1424.7,1546.5,1615.7,1868.7,2041.5,2303.3,2615,2123,2295,2515,2011,2166,2210,2540,2385,3145,3157,3463,3539,4167
M101,3903,3834,4133,5134,5858,6370,5602,5345,5240,5152,5773,6248,5368,5726,6145,7808,7448,8869,8302,9070
M102,1566.4,1343.5,1447,1465.1,1768.8,1660.3,1630.9,1325.7,950.5,989.5,1625.1,1809.6,1872.4,2130.9,2093.4,2064.8,1809.7,1640.3,1937,2370.7
M103,1283.4,1462.2,1492.6,1740.6,2159.2,5001.8,5326,4860,7786,9160,8560,7120,7260,4820,4740,5140,4120,3780,3980,4220
M104,1439.5,1928.6,2336.6,2956.7,3159.9,3010.2,3795.8,2503.8,2158.6,3148.5,2819.2,3504.1,4132.7,4635.9,4277.9,4460,4383,4404,4402,5144
M105,2345.4,3247.5,3803.8,4710.6,6034.3,6190.5,6018.2,5731.1,6124.5,6912.7,7067.9,6899.8,7263.1,7279.2,7115.2,6958.4,5961.1,6322.8,6499,7402
M106,3329.5,3267.05,3235.7,4191.1,3456.1,3779.15,4298.05,3641.75,3333.6,3928.7,4545.2,4474.05,3852.55,4872.4,5531.65,6406.35,5817.1,5525.3,5294.5,5297.4
M107,1748.1,2717,4428.6,5533.8,7271.95,6490.95,1152.85,979,1102.15,1194.85,1123.5,1374.25,1266.25,1404.1,1650.75,2140.65,1757.35,1671.3,1747,2085.95
M108,2867.76,2851.68,3076.8,3241.84,3239.28,4195.28,4374.8,4119.68,5371.36,5418.64,5991.2,5073.12,4878.16,5432.72,5655.28,9712.32,6237.2,6003.52,8888.88,9321.84
M109,2518.05,3164.4,3288.5,3256.45,5790.5,6710,9365,6825,6310,7075,6575,5335,5545,3650,2545,3450,1740,360,3210,2280
M110,1194.15,1422.65,1633.1,1858.4,2004.25,2516.85,2930.85,3316.3,3563.65,3947.25,4308.15,4628.05,5015.75,4899.25,5696.15,6483.45,742.6,5794.6,4617.2,5971.1
M111,6509.2,6896.4,7032,6502,5602,6701.2,6845.2,7518.8,8739.6,10129.2,9226,9667.6,7762.4,8378,7612.4,199.6,7759.6,7802,2109.6,6560.4
M112,1623.25,2140.55,2451.15,2964.45,3619.1,3764.25,4156,3374.55,4268.55,5290.7,5635.2,5845.9,7286.05,7686.95,8680,8305,7825,8025,7785,9430
M113,2032,2085.05,2068.75,1978.9,2472.25,2819.6,3016.45,2731.85,2506.75,5833.6,4474,7208.75,15586.15,25052.3,25805,16960,10480,7475,11160,12505
M114,658.7,780.2,827.6,874.9,695.9,881.4,1188.1,1478.3,2087.4,975,1475.1,2137.5,2826.4,3867.3,5057.9,5982.1,7016.4,6686.8,6658.9,2828.4
M115,224.04,237.04,269.1,358.82,486.92,597.62,752.56,947.72,1131.28,1312.6,1500.14,1766.78,1966.26,2465.1,3644.38,4284.78,4706.34,5213.12,5935.9,6479.36
M116,1514.05,1821.61,2423.21,3057.39,4393.68,4226.48,5031,3610,4068,6809,6583,3460,4745,4936,2481,1598,587,1250,1455,618
M117,1702.2,2085.8,2513.8,3034.4,3588.5,3947.2,4146.4,3299.9,3801.1,5190.9,4637.6,5232.5,7034.4,8543.3,8236.8,8328.8,8353.7,10565.4,11281.7,5541.9
M118,4759.35,4500.9,5850.85,6881.2,8114.6,7898.1,8595.55,3443.05,3587,6144.8,3535.8,245.2,4745.9,7728.2,7303.3,7809.05,3659.1,5924.35,5004.9,9385.95
M119,5275.58,5832.8,5815.04,5981.24,5905,5427.64,5168.82,5195.24,5605.68,6436.12,6610.6,5569.16,6463.16,6883.56,5939.64,6334.18,1558,5533.68,5446.26,6532.78
M120,350.9,492.8,772.25,1049.35,1378.45,1446.2,1752.5,1871,2294.5,2643.75,2825.9,3643.45,4984.35,6595.35,8141.45,8500,9115.7,8088.35,6772.2,9537.8
M121,2033.02,2050.2,2077.3,2116.78,2155.18,2243.52,2380.02,2378.9,2100.38,2520.48,2496.34,2660.3,2816.78,2891.88,3043,3373.08,4412.32,5624,412,4172
M122,1936.55,2193.45,2295.9,2749.15,2734,3259.7,3661.2,4521.35,5607.65,6330.75,7058.5,8031.45,8689.9,7906.9,7795.55,5036.15,4601.45,6746.7,4827.35,6615
M123,1397,1561.8,1847.7,2154.55,2913.3,3318.55,3564,3605.65,4765,4965,4990,405,5040,5225,5690,6170,3775,7855,7985,9815
M124,1475,1825,2073,2301,2175,2609,2886,2098,3659,3514,4108,4046.99,7011.99,5485.99,5395,6004,6129,4791,4753,4206
M125,3618,3359.2,4272.8,5838,4062,3151.2,1734.8,2029.6,3686,5754,3984.4,3734.8,3250,4376.4,4474.8,3816.8,2790.4,4068,4270.8,3671.6
M126,939.3,1189.1,1522,1954.8,2362.6,2151.2,1950.3,1830.6,2353.1,2980,3314.4,3719.8,3912.4,3860.2,4807.9,4719,4450.2,6249.8,7761.4,10113.8
M127,3326.29,3466.12,3606.6,3955,4600,4701,3936,3147,2555,4840,672,4639,5706,8656,9325,7108,6192,3748,1649,6165
M128,2080.5,1890,2084,3091,3920,3700,3425.5,2950.5,2387,3243.5,4613,4829.5,4160.5,8290.5,9227.5,7182,3622,4894.5,6023,8049.5
M129,3757,4210,4219.5,4554.5,5629,5496.5,5677,4181,3281.5,4740,485,3415,3975,6175,5855,4420,1355,2560,2705,3815
M130,2644.66,2733.3,2825.46,2947.14,3078.22,2659.36,2866.6,2980.4,3204.6,3249,3173.2,2801.2,4391.4,4617.6,1906.8,2307.8,634.6,3389.2,3387.4,2815.8
M131,360.7,436.22,543.5,622.74,723.82,896.52,1070.56,1276.4,1625.3,1943.3,2167.9,2407.78,2956.58,3575.08,4138.5,4856.04,5763.38,6722.46,7895.96,8313.9
M132,2248.7,2991.1,3069.9,2991.3,3002.3,3506.8,3798.6,4193,5759.1,6406,6568.5,6727,7027.7,7444.7,8003.8,8629.9,8251.1,8941.5,9484.5,10395.3
M133,4308.15,3997.2,4260,3913.95,4767.3,4773.45,4784.55,5398.95,6637.95,7480.05,7134.3,7133.4,7405.95,7921.8,7636.05,6775.35,1399.65,5427.6,6233.55,7554.3
M134,1101,1198.5,1322.5,1644.5,1934,2160,2311,2596,3109,3990,5217.5,5846.5,6171,7061.5,6747.5,6221.5,6009.5,5205.5,5264,5640
M135,5631,5690,6243,6734.5,6332,6845.5,7056,6829,5674.5,6740,6977,6558.5,5968.5,6200,7613,7778.5,2413,6567.5,5868,3307
M136,5585.65,5391.9,5482.75,5909.5,6248.85,6179.75,5948.7,6033.7,3894.35,4877.15,5802.15,5494.65,5815.1,4061.25,5611.9,5498.5,5495.1,5496.95,5584.7,5470.1
M137,2871.6,3145.8,3352.2,3643.8,4255,5358.4,6453.8,2599.4,123.6,4027.8,3344.6,1537.8,2252.8,3536.6,3683.4,3937,4128.4,4063,3795.2,4135.8
M138,5208.5,5420.5,5365,5526.5,5493,5434,5171.5,4637,4178.5,4303.5,4754.5,5683,6188,5546.5,4553,4694.5,4841.5,6244,5838.5,6496
M139,2514,2167,2231,2954,2221,750,1024,1766,4107,5386,5476,3904,3823,3880,3436,1746,1071,3001,6140,8670
M140,543.9,439.05,370.95,728.4,1137.6,1519.05,1030.5,655.2,1301.4,1791.45,1918.8,2644.65,2832.9,3466.2,4249.5,4078.8,6529.5,8049,8069.85,8949.9
M141,1494.15,1706.03,1984.73,2358.75,2816.85,3264.75,3717.45,4201.35,4796.03,5224.88,5669.17,6139.42,6965.03,7657.73,8130.23,8242.13,7871.93,7311,7519.88,8014.2
M142,5221.5,5299,5066,5229,4124.5,5278,5650.5,5586.5,4733.5,3856.5,5632.5,5977.5,6334,6228.5,6405,5934.5,6204.5,6358,6031,5938
M143,1466,1764,1986,2238,2374,2418,2634,4290,4736,5598,5702,6070,6878,6572,7134,7544,6744,7334,7196,8164
M144,1198,1427.5,1748,2028.5,2435,1993,2458,2036,2321.5,3472.5,2047,2314,2709.5,3007.5,3286.5,3703,2749.5,3783.5,4504.5,5363.5
M145,1109.31,1228.26,1235.82,1350.42,1528.77,1411.2,1366.05,1569.54,1658.07,1666.53,1822.26,2176.02,2733.57,3313.62,3923.31,4326.66,4720.41,5351.37,6283.68,8147.7
M146,963.45,1234.95,1841,2775.5,3402.15,2895.55,2151.3,2321.55,2195.7,3012.55,2880.75,2541.7,3017.3,4199.45,3330.55,3326.2,3975.25,4276.15,6718.35,7899.05
M147,5929.07,6332.38,6043.28,6127.9,6262.29,6416.96,5999.64,6424.27,5769.61,5623.18,5357.77,5265,4900.33,4529.55,4130.8,4225.07,4181.2,4189.48,3988.72,3863.11
