id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
866,British Pale Ale (2010),English Pale Ale,16.0,0.054,30.0,481,7 Seas Brewing Company,East Windsor,WA
48,British Pale Ale,English Pale Ale,16.0,0.054,30.0,481,7 Seas Brewing Company,East Windsor,WA
47,Ballz Deep Double IPA,American Double / Imperial IPA,16.0,0.084,82.0,481,7 Seas Brewing Company,Edwards,WA
1583,Wolfman's Berliner,Berliner Weissbier,12.0,0.038,,373,7venth Sun,Cincinnati,FL
1165,Colorado Native,American Amber / Red Lager,12.0,0.055,26.0,462,AC Golden Brewing Company,Burlington,CO
431,Colorado Native (2011),American Amber / Red Lager,12.0,0.055,26.0,462,AC Golden Brewing Company,Burlington,CO
516,Jockamo IPA,American IPA,12.0,0.065,52.0,533,Abita Brewing Company,Comstock Park,LA
515,Purple Haze,Fruit / Vegetable Beer,12.0,0.042,13.0,533,Abita Brewing Company,Comstock Park,LA
514,Abita Amber,American Amber / Red Lager,12.0,0.045,17.0,533,Abita Brewing Company,Columbus,LA
2540,Citra Ass Down,American IPA,16.0,0.082,68.0,62,Against The Grain Brewery,Columbus,KY
2539,The Brown Note,American Brown Ale,16.0,0.05,20.0,62,Against The Grain Brewery,Danville,KY
2686,Citra Ass Down,American Double / Imperial IPA,16.0,0.08,68.0,1,Against the Grain Brewery,Columbus,KY
2685,London Balling,English Barleywine,16.0,0.125,80.0,1,Against the Grain Brewery,Columbus,KY
2684,35 K,Milk / Sweet Stout,16.0,0.077,25.0,1,Against the Grain Brewery,Chicago,KY
2683,A Beer,American Pale Ale (APA),16.0,0.042,42.0,1,Against the Grain Brewery,Cincinnati,KY
2682,Rules are Rules,German Pilsener,16.0,0.05,25.0,1,Against the Grain Brewery,Columbus,KY
2681,Flesh Gourd'n,Pumpkin Ale,16.0,0.066,21.0,1,Against the Grain Brewery,Cincinnati,KY
2680,Sho'nuff,Belgian Pale Ale,16.0,0.04,13.0,1,Against the Grain Brewery,Comstock Park,KY
2679,Bloody Show,American Pilsner,16.0,0.055,17.0,1,Against the Grain Brewery,Cincinnati,KY
2678,Rico Sauvin,American Double / Imperial IPA,16.0,0.076,68.0,1,Against the Grain Brewery,Comstock Park,KY
2677,Coq de la Marche,Saison / Farmhouse Ale,16.0,0.051,38.0,1,Against the Grain Brewery,Chicago,KY
2676,Kamen Knuddeln,American Wild Ale,16.0,0.065,,1,Against the Grain Brewery,Columbus,KY
2675,Pile of Face,American IPA,16.0,0.06,65.0,1,Against the Grain Brewery,Comstock Park,KY
2674,The Brown Note,English Brown Ale,16.0,0.05,20.0,1,Against the Grain Brewery,Comstock Park,KY
1594,Maylani's Coconut Stout,American Stout,16.0,0.053,35.0,367,Airways Brewing Company,Fort Collins,WA
1162,Oatmeal PSA,American Pale Ale (APA),16.0,0.05,35.0,367,Airways Brewing Company,Fort Collins,WA
1137,Pre Flight Pilsner,American Pilsner,16.0,0.052,33.0,367,Airways Brewing Company,Kent,WA
2403,P-Town Pilsner,American Pilsner,12.0,0.04,20.0,117,Alameda Brewing,Durango,OR
2402,Klickitat Pale Ale,American Pale Ale (APA),12.0,0.053,36.0,117,Alameda Brewing,Durango,OR
2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,12.0,0.082,103.0,117,Alameda Brewing,Eagle,OR
1921,Freeride APA,American Pale Ale (APA),12.0,0.053,40.0,270,Alaskan Brewing Company,Brooklyn,AK
1920,Alaskan Amber,Altbier,12.0,0.053,18.0,270,Alaskan Brewing Company,Brooklyn,AK
2501,Hopalicious,American Pale Ale (APA),12.0,0.057,,73,Ale Asylum,Fort Collins,WI
1535,Kentucky Kölsch,Kölsch,16.0,0.043,,388,Alltech's Lexington Brewing Company,Columbus,KY
1149,Kentucky IPA,American IPA,16.0,0.065,,388,Alltech's Lexington Brewing Company,Comstock Park,KY
1474,Dusty Trail Pale Ale,American Pale Ale (APA),16.0,0.054,,401,Amnesia Brewing Company,Edwards,WA
1473,Damnesia,American IPA,16.0,0.062,,401,Amnesia Brewing Company,Edwards,WA
837,Desolation IPA,American IPA,16.0,0.062,43.0,401,Amnesia Brewing Company,Edwards,WA
2592,Liberty Ale,American IPA,12.0,0.059,,35,Anchor Brewing Company,Burlington,CA
2578,IPA,American IPA,12.0,0.065,,35,Anchor Brewing Company,Burlington,CA
2577,Summer Wheat,American Pale Wheat Ale,12.0,0.045,,35,Anchor Brewing Company,Charlottesville,CA
2103,California Lager,American Amber / Red Lager,12.0,0.049,,35,Anchor Brewing Company,Bucryus,CA
2102,Brotherhood Steam,California Common / Steam Beer,12.0,0.056,,35,Anchor Brewing Company,Bucryus,CA
2291,Blood Orange Gose,Gose,12.0,0.042,,171,Anderson Valley Brewing Company,Brooklyn,CA
1818,Keebarlin' Pale Ale,American Pale Ale (APA),12.0,0.042,,171,Anderson Valley Brewing Company,Burlington,CA
1738,"the Kimmie, the Yink and the Holy Gose",Gose,12.0,0.048,,171,Anderson Valley Brewing Company,Burlington,CA
1563,Fall Hornin',Pumpkin Ale,12.0,0.06,,171,Anderson Valley Brewing Company,Brooklyn,CA
1520,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,13.0,171,Anderson Valley Brewing Company,Brooklyn,CA
1350,Summer Solstice,Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Burlington,CA
1327,Hop Ottin' IPA,American IPA,12.0,0.07,80.0,171,Anderson Valley Brewing Company,Burlington,CA
1326,Boont Amber Ale,American Amber / Red Ale,12.0,0.058,15.0,171,Anderson Valley Brewing Company,Bucryus,CA
1221,Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,13.0,171,Anderson Valley Brewing Company,Brooklyn,CA
1217,El Steinber Dark Lager,Vienna Lager,16.0,0.055,25.0,171,Anderson Valley Brewing Company,Brooklyn,CA
811,Boont Amber Ale (2010),American Amber / Red Ale,12.0,0.058,15.0,171,Anderson Valley Brewing Company,Bucryus,CA
753,Summer Solstice Cerveza Crema (2009),Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Burlington,CA
572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12.0,0.057,13.0,171,Anderson Valley Brewing Company,Brooklyn,CA
523,Winter Solstice,Winter Warmer,12.0,0.069,6.0,171,Anderson Valley Brewing Company,Burlington,CA
367,Hop Ottin' IPA (2011),American IPA,12.0,0.07,80.0,171,Anderson Valley Brewing Company,Burlington,CA
78,Boont Amber Ale (2011),American Amber / Red Ale,12.0,0.058,15.0,171,Anderson Valley Brewing Company,Bucryus,CA
77,Summer Solstice (2011),Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA
76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12.0,0.055,28.0,171,Anderson Valley Brewing Company,Burlington,CA
2337,Charlie's Rye IPA,American IPA,16.0,0.06,,146,Angry Minnow,Edwards,WI
410,River Pig Pale Ale,American Pale Ale (APA),16.0,0.054,,542,Angry Minnow Brewing Company,Framingham,WI
409,Oaky's Oatmeal Stout,Oatmeal Stout,16.0,0.047,,542,Angry Minnow Brewing Company,Fort Collins,WI
1294,Angry Orchard Apple Ginger,Cider,16.0,0.05,,434,Angry Orchard Cider Company,Diamond Springs,OH
1293,Angry Orchard Crisp Apple,Cider,16.0,0.05,,434,Angry Orchard Cider Company,Diamond Springs,OH
1292,Angry Orchard Crisp Apple,Cider,12.0,0.05,,434,Angry Orchard Cider Company,Dolores,OH
2207,Golden One,Belgian Pale Ale,12.0,0.068,,193,Anthem Brewing Company,Duluth,OK
2040,Arjuna,Witbier,12.0,0.06,,193,Anthem Brewing Company,Diamond Springs,OK
2039,Uroboros,American Stout,12.0,0.085,,193,Anthem Brewing Company,Eagle,OK
2511,Long Leaf,American IPA,16.0,0.071,75.0,69,Appalachian Mountain Brewery,Denver,NC
2510,Honey Badger Blonde,American Blonde Ale,16.0,0.047,19.0,69,Appalachian Mountain Brewery,Denver,NC
2509,Porter (a/k/a Black Gold Porter),American Porter,16.0,0.06,23.0,69,Appalachian Mountain Brewery,Denver,NC
413,Sky High Rye,American Pale Ale (APA),12.0,0.06,55.0,541,Arcadia Brewing Company,Denton,MI
390,Whitsun,American Pale Wheat Ale,12.0,0.062,17.0,541,Arcadia Brewing Company,Denton,MI
735,On-On Ale (2008),American Pale Ale (APA),12.0,0.052,,513,Arctic Craft Brewery,Charlottesville,CO
1333,Quakertown Stout,American Double / Imperial Stout,12.0,0.092,50.0,426,Armadillo Ale Works,Denton,TX
1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.051,20.0,426,Armadillo Ale Works,Eagle,TX
1172,Mo's Gose,Gose,16.0,0.052,10.0,461,Armstrong Brewing Company,Bucryus,CA
1322,Green Bullet Organic India Pale Ale,American IPA,16.0,0.07,45.0,429,Asher Brewing Company,Burlington,CO
550,Rocket Girl,Kölsch,12.0,0.032,27.0,528,Asheville Brewing Company,Denver,NC
429,Ninja Porter,American Porter,12.0,0.053,26.0,528,Asheville Brewing Company,Denver,NC
428,Shiva IPA,American IPA,12.0,0.06,69.0,528,Asheville Brewing Company,Diamond Springs,NC
1640,Aslan Kölsch,Kölsch,16.0,0.048,,353,Aslan Brewing Company,East Windsor,WA
1639,Aslan IPA,American IPA,16.0,0.077,,353,Aslan Brewing Company,Edwards,WA
1638,Aslan Amber,American Amber / Red Ale,16.0,0.077,,353,Aslan Brewing Company,Edwards,WA
597,This Season's Blonde,American Blonde Ale,12.0,0.056,27.0,523,Aspen Brewing Company,Charlottesville,CO
596,Independence Pass Ale,American IPA,12.0,0.07,67.0,523,Aspen Brewing Company,Burlington,CO
1580,Trolley Stop Stout,American Stout,12.0,0.057,40.0,374,Astoria Brewing Company,Eagle,OR
980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12.0,0.082,138.0,374,Astoria Brewing Company,Duluth,OR
979,Poop Deck Porter,American Porter,12.0,0.062,35.0,374,Astoria Brewing Company,Eagle,OR
978,Old Red Beard Amber Ale,American Amber / Red Ale,12.0,0.06,35.0,374,Astoria Brewing Company,Eagle,OR
2503,Hop A-Peel,American Double / Imperial IPA,16.0,0.075,115.0,72,Atwater Brewery,Davenport,MI
2502,Vanilla Java Porter,American Porter,16.0,0.055,12.0,72,Atwater Brewery,Denton,MI
2495,Michelada,Fruit / Vegetable Beer,16.0,0.052,,72,Atwater Brewery,Danville,MI
534,Dirty Blonde Ale,American Blonde Ale,12.0,0.045,8.0,72,Atwater Brewery,Danville,MI
528,Grand Circus IPA,American IPA,12.0,0.05,62.0,72,Atwater Brewery,Davenport,MI
527,Atwater's Lager,Munich Helles Lager,12.0,0.05,12.0,72,Atwater Brewery,Columbus,MI
1409,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16.0,0.07,,413,Austin Beerworks,East Windsor,TX
343,Fire Eagle IPA,American IPA,12.0,0.062,,413,Austin Beerworks,East Windsor,TX
342,Peacemaker,American Pale Ale (APA),12.0,0.051,,413,Austin Beerworks,Edwards,TX
341,Pearl-Snap,German Pilsener,12.0,0.053,,413,Austin Beerworks,East Windsor,TX
340,Black Thunder,Schwarzbier,12.0,0.052,,413,Austin Beerworks,Durango,TX
2589,Raja,American Double / Imperial IPA,12.0,0.08,,37,Avery Brewing Company,Charlottesville,CO
2546,Perzik Saison,Saison / Farmhouse Ale,12.0,0.064,,37,Avery Brewing Company,Boulder,CO
146,Avery Joe’s Premium American Pilsner,German Pilsener,12.0,0.047,42.0,37,Avery Brewing Company,Brooklyn,CO
108,White Rascal,Witbier,12.0,0.056,10.0,37,Avery Brewing Company,Charlottesville,CO
107,Avery India Pale Ale,American IPA,12.0,0.063,69.0,37,Avery Brewing Company,Bucryus,CO
106,Ellie’s Brown Ale,American Brown Ale,12.0,0.055,17.0,37,Avery Brewing Company,Burlington,CO
1620,Pumpkin Beast,Pumpkin Ale,12.0,0.062,17.0,360,Aviator Brewing Company,Denton,NC
1579,OktoberBeast,Märzen / Oktoberfest,12.0,0.072,22.0,360,Aviator Brewing Company,Denton,NC
1228,Mad Beach,American Pale Wheat Ale,12.0,0.048,23.0,360,Aviator Brewing Company,Denver,NC
705,Hog Wild India Pale Ale,American IPA,12.0,0.067,,360,Aviator Brewing Company,Denver,NC
704,Devils Tramping Ground Tripel,Tripel,12.0,0.092,5.0,360,Aviator Brewing Company,Davenport,NC
702,Hot Rod Red,American Amber / Red Ale,12.0,0.061,41.0,360,Aviator Brewing Company,Denver,NC
2058,Palate Mallet,American Double / Imperial IPA,12.0,0.086,,235,Back East Brewing Company,Charlottesville,CT
1483,Back East Porter,American Porter,12.0,0.06,,235,Back East Brewing Company,Bucryus,CT
1426,Back East Golden Ale,American Blonde Ale,12.0,0.049,,235,Back East Brewing Company,Burlington,CT
1132,Misty Mountain IPA,American IPA,12.0,0.07,,235,Back East Brewing Company,Charlottesville,CT
1131,Back East Ale,American Amber / Red Ale,12.0,0.05,,235,Back East Brewing Company,Burlington,CT
1876,Truck Stop Honey Brown Ale,English Brown Ale,12.0,0.06,,286,Back Forty Beer Company,Bucryus,AL
1875,Naked Pig Pale Ale,American Pale Ale (APA),12.0,0.06,43.0,286,Back Forty Beer Company,Bucryus,AL
966,Topcutter India Pale Ale,American IPA,12.0,0.068,70.0,483,Bale Breaker Brewing Company,Framingham,WA
965,Field 41 Pale Ale,American Pale Ale (APA),12.0,0.044,38.0,483,Bale Breaker Brewing Company,Fort Collins,WA
2593,Grapefruit Sculpin,American IPA,12.0,0.07,,34,Ballast Point Brewing Company,Burlington,CA
2105,Even Keel,American IPA,12.0,0.038,40.0,34,Ballast Point Brewing Company,San Diego,CA
1401,Ballast Point Pale Ale,Kölsch,12.0,0.052,23.0,34,Ballast Point Brewing Company,Brooklyn,CA
1400,Big Eye India Pale Ale,American IPA,12.0,0.07,75.0,34,Ballast Point Brewing Company,Bucryus,CA
1019,Longfin Lager,Munich Helles Lager,12.0,0.046,,34,Ballast Point Brewing Company,San Diego,CA
1018,Sculpin IPA,American IPA,12.0,0.07,70.0,34,Ballast Point Brewing Company,Charlottesville,CA
1776,All Nighter Ale,Extra Special / Strong Bitter (ESB),12.0,0.045,,318,Banner Beer Company,Cincinnati,MA
1644,Banner American Rye,Rye Beer,12.0,0.045,20.0,318,Banner Beer Company,Cincinnati,MA
1643,Banner American Ale,American Amber / Red Ale,12.0,0.035,45.0,318,Banner Beer Company,Comstock Park,MA
2618,Thai.p.a,American IPA,16.0,0.07,46.0,20,Bare Hands Brewery,Comstock Park,IN
2005,Barrio Blanco,American IPA,12.0,0.06,60.0,251,Barrio Brewing Company,Brooklyn,AZ
1343,Barrio Tucson Blonde,American Blonde Ale,12.0,0.045,,251,Barrio Brewing Company,Bucryus,AZ
2404,Hop in the ‘Pool Helles,American Pilsner,12.0,0.049,22.0,116,Base Camp Brewing Co.,Durango,OR
2323,Ultra Gnar Gnar IPA,American IPA,12.0,0.067,60.0,116,Base Camp Brewing Co.,Eagle,OR
2189,In-Tents India Pale Lager,American Pale Lager,12.0,0.068,62.0,116,Base Camp Brewing Co.,Durango,OR
2188,Lost Meridian Wit,Witbier,12.0,0.05,20.0,116,Base Camp Brewing Co.,Dolores,OR
2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12.0,0.051,45.0,116,Base Camp Brewing Co.,Dolores,OR
1966,Wagon Party,California Common / Steam Beer,12.0,0.054,55.0,258,Bauhaus Brew Labs,Denton,MN
1965,Sky-Five,American IPA,12.0,0.067,70.0,258,Bauhaus Brew Labs,Denton,MN
1964,Stargrazer,Schwarzbier,12.0,0.05,28.0,258,Bauhaus Brew Labs,Davenport,MN
1963,Wonderstuff,German Pilsener,12.0,0.054,48.0,258,Bauhaus Brew Labs,Denton,MN
1855,Tarnation California-Style Lager,California Common / Steam Beer,12.0,0.053,,292,Baxter Brewing Company,Davenport,ME
1778,On the Count of 3 (2015),Hefeweizen,16.0,0.07,42.0,292,Baxter Brewing Company,Danville,ME
1209,Summer Swelter,American Pale Wheat Ale,12.0,0.047,,292,Baxter Brewing Company,Davenport,ME
954,Phantom Punch Winter Stout,Foreign / Export Stout,12.0,0.068,,292,Baxter Brewing Company,Danville,ME
910,Hayride Autumn Ale,Rye Beer,12.0,0.066,,292,Baxter Brewing Company,Comstock Park,ME
707,Celsius Summer Ale (2012),American Pale Wheat Ale,12.0,0.047,,292,Baxter Brewing Company,Comstock Park,ME
533,Amber Road,American Amber / Red Ale,12.0,0.055,35.0,292,Baxter Brewing Company,Comstock Park,ME
183,Pamola Xtra Pale Ale,American Pale Ale (APA),12.0,0.049,28.0,292,Baxter Brewing Company,Davenport,ME
182,Stowaway IPA,American IPA,12.0,0.069,69.0,292,Baxter Brewing Company,Davenport,ME
1806,Hoptopus Double IPA,American Double / Imperial IPA,16.0,0.088,108.0,306,Beach Brewing Company,Edwards,VA
2435,Watermelon Ale,Fruit / Vegetable Beer,12.0,0.05,10.0,103,Beer Works Brewery,Danville,MA
2423,Fenway American Pale Ale,American Pale Ale (APA),12.0,0.058,45.0,103,Beer Works Brewery,Comstock Park,MA
2420,Back Bay IPA,American IPA,12.0,0.068,85.0,103,Beer Works Brewery,Columbus,MA
2419,Bunker Hill Blueberry Ale,Other,12.0,0.048,16.0,103,Beer Works Brewery,Cincinnati,MA
2494,Oberon,American Pale Wheat Ale,12.0,0.058,,76,Bell's Brewery,Davenport,MI
2325,Smitten,Rye Beer,16.0,0.06,,76,Bell's Brewery,Kalamazoo,MI
2022,Winter White,Witbier,16.0,0.05,,76,Bell's Brewery,Davenport,MI
1989,Oberon,American Pale Wheat Ale,16.0,0.058,,76,Bell's Brewery,Davenport,MI
1988,Two Hearted,American IPA,16.0,0.07,,76,Bell's Brewery,Denton,MI
1955,Best Brown,American Brown Ale,16.0,0.058,,76,Bell's Brewery,Danville,MI
2558,Moar,English India Pale Ale (IPA),12.0,0.044,44.0,53,Bent Brewstillery,Davenport,MN
2557,Uber Lupin Schwarz IPA,American Double / Imperial IPA,16.0,0.083,,53,Bent Brewstillery,Denver,MN
2556,Nordic Blonde,American Blonde Ale,12.0,0.057,27.0,53,Bent Brewstillery,Denton,MN
2496,Cold Press,American Black Ale,12.0,0.06,,75,Bent Paddle Brewing Company,Davenport,MN
2410,Harness the Winter,American IPA,12.0,0.072,87.0,75,Bent Paddle Brewing Company,Davenport,MN
1902,14° ESB,Extra Special / Strong Bitter (ESB),12.0,0.056,32.0,75,Bent Paddle Brewing Company,Comstock Park,MN
1901,Bent Hop Golden IPA,American IPA,12.0,0.062,68.0,75,Bent Paddle Brewing Company,Danville,MN
1261,Bent Paddle Black Ale,American Black Ale,12.0,0.06,34.0,75,Bent Paddle Brewing Company,Danville,MN
1253,Venture Pils,German Pilsener,12.0,0.05,38.0,75,Bent Paddle Brewing Company,Duluth,MN
1900,Lost Sailor IPA,English India Pale Ale (IPA),12.0,0.055,40.0,278,Berkshire Brewing Company,Comstock Park,MA
1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),12.0,0.053,20.0,278,Berkshire Brewing Company,Danville,MA
1158,La Frontera Premium IPA,American IPA,12.0,0.078,,463,Big Bend Brewing Company,Edwards,TX
1157,Tejas Lager,Czech Pilsener,12.0,0.047,,463,Big Bend Brewing Company,Edwards,TX
1156,Number 22 Porter,American Porter,12.0,0.064,,463,Big Bend Brewing Company,Edwards,TX
1155,Big Bend Hefeweizen,Hefeweizen,12.0,0.056,,463,Big Bend Brewing Company,Eagle,TX
1154,Terlingua Gold,American Blonde Ale,12.0,0.06,,463,Big Bend Brewing Company,Fort Collins,TX
2104,Aprè Shred,American Strong Ale,16.0,0.081,17.0,220,Big Choice Brewing,Bucryus,CO
1762,Hemlock Double IPA,American Double / Imperial IPA,12.0,0.095,104.0,220,Big Choice Brewing,Burlington,CO
1422,West Portal Colorado Common Summer Ale,California Common / Steam Beer,16.0,0.041,,220,Big Choice Brewing,Charlottesville,CO
1067,Disconnected Red,American Amber / Red Ale,16.0,0.067,85.0,220,Big Choice Brewing,Burlington,CO
1003,Big Elm IPA,American IPA,12.0,0.07,,477,Big Elm Brewing,Comstock Park,MA
1002,Gerry Dog Stout,American Stout,12.0,0.065,,477,Big Elm Brewing,Comstock Park,MA
1001,413 Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.06,,477,Big Elm Brewing,Cincinnati,MA
2639,Dark Star,American Stout,16.0,0.08,54.0,8,Big Lake Brewing,Danville,MI
2469,Ryecoe,American IPA,16.0,0.062,,8,Big Lake Brewing,Denton,MI
2586,Blueberry Blonde,Fruit / Vegetable Beer,12.0,0.06,,40,Big Muddy Brewing,Chicago,IL
2585,Galaxy IPA,American IPA,16.0,0.075,60.0,40,Big Muddy Brewing,Cincinnati,IL
643,Big River Pilsner,Czech Pilsener,12.0,0.05,32.0,519,Big River Brewing Company,Eagle,TN
632,House Brand IPA,American IPA,12.0,0.06,55.0,519,Big River Brewing Company,East Windsor,TN
1714,Big Sky IPA,American IPA,12.0,0.062,65.0,336,Big Sky Brewing Company,Davenport,MT
1713,Scape Goat Pale Ale,English Pale Ale,12.0,0.05,40.0,336,Big Sky Brewing Company,Denver,MT
1712,Montana Trout Slayer Ale,American Pale Wheat Ale,12.0,0.05,35.0,336,Big Sky Brewing Company,Denver,MT
1711,Moose Drool Brown Ale,American Brown Ale,12.0,0.051,26.0,336,Big Sky Brewing Company,Denver,MT
1456,Powder Hound Winter Ale,English Strong Ale,12.0,0.072,60.0,336,Big Sky Brewing Company,Denton,MT
767,Moose Drool Brown Ale (2011),American Brown Ale,12.0,0.051,26.0,336,Big Sky Brewing Company,Denver,MT
