V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W17,9250.65453065663,12027.2,12027.24,11985.62,11985.74,12432.86,12432.99,12418.26,12418.32,12418.37,12418.43,12418.49,12323.22
W18,4351.924909862306,4334.61,4334.65,4351.65,4351.77,3846.99,3954.85,3996.48,3992.55,3992.61,3992.68,3992.75,4029.96
W19,3434.8736292793888,3035.0,2591.0,2808.0,2324.0,4033.0,3146.0,3402.0,3677.0,4790.0,7520.0,4445.0,2960.0
W20,3928.5173261604227,4184.0,3374.0,4291.0,2657.0,4258.0,4050.0,3730.0,3311.0,3154.0,4551.0,4677.0,3944.0
W21,2290.7230185938315,2234.0,1786.0,2582.0,2838.0,2949.0,2483.0,2184.0,3809.0,3395.0,3194.0,2744.0,2054.0
W22,3923.4357183810234,4430.0,3380.0,4100.0,2710.0,3980.0,3720.0,3300.0,3460.0,2760.0,4730.0,3930.0,3180.0
W23,915.7942255185756,767.6,722.9,769.5,536.6,756.4,813.0,732.2,617.9,617.0,901.1,872.9,739.2
W24,6557.294845273603,6109.0,5215.0,6798.0,4354.0,10041.0,7637.0,6137.0,7002.0,8575.0,19189.0,12646.0,6956.0
W25,2516.489095522011,1679.0,1348.0,1870.0,2110.0,2492.0,2701.0,2649.0,2745.0,2676.0,3017.0,2669.0,2017.0
W26,4491.819667059851,3061.0,2947.0,4293.0,3409.0,4660.0,5136.0,6235.0,5580.0,4585.0,6168.0,4943.0,3945.0
W27,3340.6083344738213,2144.0,1752.0,2314.0,2645.0,2643.0,3120.0,3302.0,3802.0,2762.0,3713.0,4473.0,2643.0
W28,7793.0,3341.0,3003.0,3507.0,2555.0,3167.0,3300.0,3507.0,8089.0,8507.0,5611.0,4081.0,3025.0
W29,1263.0408792648775,1017.0,907.0,1075.0,833.0,1716.0,1339.0,1312.0,1345.0,1322.0,2142.0,1732.0,1143.0
W30,5512.546334666978,4016.0,3075.0,4373.0,3773.0,5121.0,4129.0,4785.0,6509.0,7561.0,6183.0,5485.0,4223.0
W31,1629.829528552452,829.0,796.0,1026.0,1483.0,1412.0,1665.0,1696.0,2150.0,1948.0,1778.0,1156.0,1053.0
W32,5862.787960447272,3990.0,5803.0,3980.0,6833.0,5247.0,6023.0,7372.0,6529.0,7042.0,6642.0,6607.0,7307.0
W33,2186.4435864717493,1470.0,1831.2,1860.7,2952.6,2076.0,1926.5,2127.6,2526.5,3130.5,2901.6,1965.4,1930.4
W34,1660.63419000082,1485.0,1676.0,1434.0,2556.0,2017.0,1752.0,1575.0,1478.0,2618.0,2045.0,1480.0,1464.0
W35,1419.467251437264,938.0,1641.0,1225.0,2143.0,2298.0,1561.0,1253.0,1257.0,2191.0,2137.0,1662.0,1565.0
W36,12911.18167869316,14697.3,14490.1,16890.6,13307.5,11488.0,11021.4,13786.0,17773.2,20125.2,13053.1,14418.3,18561.2
W37,2578.1135846978345,2870.0,2839.7,2925.6,2858.2,2873.3,2857.3,2832.8,2818.5,2843.0,2863.1,2838.6,2827.4
W38,3243.6271502613013,2991.26,2966.63,3079.93,3027.55,3046.13,3052.31,3028.4,3042.15,3060.21,3044.19,3005.94,2999.31
W39,5820.987769708927,5811.86,5764.85,5774.63,5782.51,5729.81,5736.21,5784.8,5783.06,5742.76,5732.81,5730.19,5678.13
W40,5817.622817954922,5807.545,5761.31,5766.93,5777.23,5727.54,5732.42,5780.82,5776.885,5739.61,5732.305,5721.025,5674.69
W41,6013.555383545169,6046.39,6014.57,6020.12,6111.92,6065.35,6090.68,6170.24,6206.4,6161.53,6092.33,6028.87,6039.88
W42,6016.394295595943,6055.38,6021.96,6036.22,6123.1,6070.16,6098.74,6178.74,6219.68,6168.3,6093.4,6048.22,6047.21
W43,6019.237994799533,6050.885,6018.265,6028.17,6117.51,6067.755,6094.71,6174.49,6213.04,6164.915,6092.865,6038.545,6043.545
W44,5813.55,5803.23,5757.77,5759.23,5771.95,5725.27,5728.63,5776.84,5770.71,5736.46,5731.8,5711.86,5671.25
W45,3249.3681883700838,2967.95,3071.57,3101.51,3101.51,3136.93,3189.06,3165.62,3069.02,2990.9,2965.64,2997.27,3001.98
W46,3249.6688524698325,3088.77,3129.65,3163.045,3114.31,3110.356,3123.937,3136.711,3158.378,3095.771,3042.689,3026.794,3062.599
W47,3246.438633394524,2967.36,3070.66,3098.73,3098.73,3134.37,3186.88,3164.56,3067.65,2988.52,2963.47,2994.78,2999.43
W48,3230.012865585025,2996.025,3000.705,2941.08,2935.96,2938.24,2936.72,2936.66,2882.2,2862.63,2867.64,2875.68,2871.67
W49,3256.9883476984464,3248.07,3406.28,3378.86,3335.78,3331.52,3375.54,3365.51,3264.59,3155.58,3087.64,3128.35,3161.7
W50,3249.381111722856,3248.72,3407.29,3381.89,3338.78,3334.24,3377.85,3366.64,3266.05,3158.09,3089.9,3130.95,3164.39
W51,6271.042838484826,6749.6,6672.9,6664.1,6601.3,6601.8,6483.1,6488.7,6431.8,6468.2,6418.9,6383.5,6403.6
W52,6547.050235139482,7049.9,6985.1,7060.9,7021.9,7015.0,6921.2,6940.5,6942.0,6894.3,6783.9,6801.8,6773.4
W53,2087.504487400142,1845.1,1867.4,2142.0,2309.8,2248.6,2182.6,2050.6,1986.8,1865.6,1912.3,1982.7,1933.5
W54,2311.876665838151,2491.0,2474.0,2491.0,2483.0,2460.0,2473.0,2448.0,2429.0,2411.0,2434.0,2445.0,2439.0
W55,5426.2504709326895,4936.0,4551.0,4461.0,4515.0,4725.0,4863.0,5097.0,5191.0,5195.0,5328.0,5342.0,5207.0
W56,3928.931481011647,3099.0,3193.0,3261.0,3334.0,3440.0,3538.0,3633.0,3733.0,3814.0,3877.0,3929.0,3978.0
W57,1560.995205967096,1970.0,1830.0,1730.0,1640.0,1550.0,1500.0,1460.0,1460.0,1390.0,1370.0,1370.0,1410.0
W58,3970.7525298775545,3651.0,3681.0,3704.0,3737.0,3907.0,3747.0,3820.0,3842.0,3649.0,3414.0,3116.0,2984.0
W59,1752.031691195084,2040.0,2030.0,1600.0,1160.0,2140.0,2780.0,1910.0,2180.0,2170.0,2010.0,1690.0,1880.0
W60,9163.647144035913,9180.81,9257.59,9244.22,9195.97,9383.28,9480.43,9506.87,9431.19,9450.03,9630.17,9660.81,9601.98
W61,9124.931532035991,10802.8,10802.8,10971.1,10971.1,10436.8,10436.8,11025.5,11025.5,10135.8,10135.8,10934.7,10934.7
W62,6739.160253887885,7061.6,7061.6,7018.9,7018.9,7157.6,7157.6,7144.4,7144.4,7536.5,7536.5,7620.1,7620.1
W63,6080.674497093715,6110.6,6110.6,6119.9,6119.9,6115.9,6115.9,6194.7,6194.7,6386.4,6386.4,6649.3,6649.3
W64,11306.163308030078,12734.0,12772.0,13825.0,15080.0,12824.0,12879.0,13769.0,14767.0,13645.0,12832.0,13629.0,15073.0
W65,16778.37879265551,17999.0,18027.0,19270.0,20726.0,18118.0,18144.0,19242.0,20438.0,19136.0,18135.0,19163.0,20871.0
W66,6966.2262928016025,7580.2,7605.2,7418.2,7320.8,7633.4,7663.4,7564.1,7418.4,7616.0,7729.0,7645.0,7464.2
W67,11606.470335776254,13641.0,13485.0,13635.0,13869.0,13787.0,13846.0,13810.0,13958.0,13995.0,13987.0,14185.0,14413.0
W68,6548.255834203866,6949.42,6997.28,7002.45,6998.8,6970.53,7019.43,7039.14,7041.96,6974.79,6967.61,6968.64,6957.49
W69,6551.703753241695,6983.87,7009.79,7004.0,7003.5,6971.28,7036.53,7049.97,7035.15,6965.37,6967.94,6962.49,6960.41
W70,2517.062305236692,2607.29,2583.84,2601.24,2597.5,2591.6,2648.13,2649.71,2654.19,2655.63,2614.58,2613.64,2614.93
W71,1805.5123622191886,1927.0,1927.0,1907.0,1906.0,1903.0,1903.0,1902.0,1897.0,1897.0,1896.0,1893.0,1892.0
W72,1805.2448155017019,1927.0,1927.0,1907.0,1906.0,1903.0,1903.0,1902.0,1897.0,1897.0,1896.0,1893.0,1892.0
W73,1805.2221740008338,1927.0,1927.0,1907.0,1906.0,1903.0,1903.0,1902.0,1897.0,1897.0,1896.0,1893.0,1892.0
W74,4494.5,3936.22,4013.09,3951.31,3701.88,3380.45,3652.31,3893.49,4156.82,4353.71,4927.72,5405.49,6528.25
W75,19252.921361938297,23935.8,24274.4,23870.6,23235.6,23930.5,25498.8,25416.7,23773.6,25931.8,25269.5,24984.5,25674.5
W76,650.3809739272343,440.0,440.0,440.0,440.0,440.0,440.0,440.0,240.0,240.0,240.0,240.0,240.0
W77,4048.254248195883,4541.82,5291.64,4690.9,4198.24,4610.46,4725.98,4681.88,3926.7,3826.87,4457.07,4650.71,4440.09
W78,4385.863314123344,4525.96,5268.49,4149.73,4106.37,4300.7,4930.68,4726.57,3929.57,4190.49,4428.39,4249.56,4221.58
W79,1792.1869485366958,1720.0,1770.0,1820.0,1860.0,1930.0,1790.0,1660.0,1620.0,1600.0,1590.0,1640.0,1670.0
W80,1720.0,1760.0,1810.0,1840.0,1950.0,1820.0,1670.0,1620.0,1600.0,1580.0,1640.0,1660.0,1760.0
W81,19184.481048166184,24044.6,23942.2,23970.5,23519.0,23811.9,24756.7,24982.2,24388.4,24379.1,25518.2,24728.0,25659.7
W82,4417.421,4434.675,4430.035,4412.757,4414.728,4419.787,4422.151,4410.932,4409.458,4417.371,4423.566,4427.224,4414.39
W83,5999.181562900614,5974.5,5931.6,6028.6,6053.0,6064.0,6017.2,5972.1,5997.6,5991.1,5939.8,5939.5,5940.6
W84,5997.183888119234,5923.8,5945.0,6050.1,6069.5,6022.3,5944.7,5985.6,5996.0,5978.0,5937.4,5937.5,5944.0
W85,15027.374228043338,17312.0,17335.0,17364.0,17429.0,17501.0,17567.0,17632.0,17683.0,17718.0,17753.0,17791.0,17808.0
W86,14959.774417052477,17320.0,17344.0,17385.0,17454.0,17522.0,17601.0,17661.0,17696.0,17731.0,17766.0,17801.0,17791.0
W87,1211.2096388403788,1094.52,1092.83,1091.55,1098.78,1099.02,1096.83,1093.89,1089.57,1099.3,1098.45,1095.05,1088.79
W88,9221.962126880095,12042.04,12027.43,11998.81,12089.79,12025.85,12079.76,12053.18,12179.34,12133.8,12093.14,12163.75,12117.78
W89,1213.2653875946928,1180.63,1201.97,1132.26,1087.99,1095.31,1151.72,1115.15,1107.33,1089.42,1084.26,1103.96,1071.63
W90,1802.183588592468,1861.782,1872.236,1854.954,1852.089,1854.091,1868.669,1893.618,1859.457,1860.784,1871.368,1829.142,1818.838
W91,18015.72571978765,19798.45,19924.33,19681.8,19608.88,19636.22,19838.41,20051.33,19701.9,19697.26,19797.94,19395.38,19260.01
W92,21837.03,22832.08,22198.61,22399.36,22658.55,22969.77,22908.66,22311.88,21853.35,22670.54,22686.31,21102.33,21032.34
W93,1704.8123886660278,1753.833,1740.646,1741.955,1753.649,1760.835,1747.62,1745.674,1751.342,1758.483,1747.428,1749.617,1753.035
W94,2181.889960653725,1986.53,1931.14,1831.39,1948.19,1948.12,2000.27,2077.83,2068.5,2093.54,2174.32,2052.07,2108.0
W95,1868.2881293625278,1764.77,1679.71,1638.8,1728.67,1733.06,1799.69,1857.32,1899.37,1907.46,1936.32,1863.71,1912.86
W96,9052.280341487127,11385.864,11303.634,11309.627,11397.101,11427.142,11459.31,11388.745,11451.752,11478.884,11545.812,11497.115,11568.007
W97,609.1252351948667,454.85,482.02,472.14,455.09,481.15,524.38,519.49,485.51,467.8,486.97,483.66,457.56
W98,851.199539617802,590.59,610.91,597.94,585.15,610.26,651.93,646.63,617.37,598.04,617.17,615.46,586.87
W99,12066.595599660175,14751.79,14883.29,15009.8,14963.45,14930.14,14847.66,14828.55,14864.72,14893.35,14811.6,14898.23,14855.39
W100,9095.802474641208,11875.5,11517.02,11305.8,11423.14,11647.5,11632.38,11729.89,11679.04,11740.51,11934.32,11741.1,11634.37
W101,9871.498,9910.685,9815.305,9808.647,9900.756,9934.128,9974.544,9905.89,9965.28,9989.549,10064.652,10007.292,10082.468
W102,13293.190759261728,15859.41,15729.3,15616.87,15749.81,15642.21,15716.89,15789.79,15961.13,15986.34,15871.65,15813.95,15743.94
W103,4345.403537850554,4375.42,4063.47,3975.35,4202.22,4212.67,4171.08,4025.43,4260.1,4159.33,4272.43,3968.74,3905.78
W104,1161.6241814271652,1019.01,1009.31,1003.54,1007.61,1004.8,998.68,991.28,991.98,988.73,979.2,976.82,968.28
W105,8953.556389829882,9155.8,9123.07,9168.48,9097.38,9109.48,9061.98,9058.14,9033.5,9064.66,9038.48,9025.31,9001.11
W106,2210.231974463852,2167.806,2153.199,2154.003,2164.848,2171.359,2157.906,2154.995,2160.496,2165.439,2154.43,2155.905,2159.078
W107,19291.758281926926,23983.72,24168.42,24240.09,24481.23,24419.29,24441.25,24333.51,24398.35,24222.27,24359.23,24297.26,24345.73
W108,13455.919170947926,16078.017,15963.238,15970.428,16056.811,16086.342,16092.328,16042.099,16027.739,16096.719,16115.75,15955.488,15951.666
W109,11775.905870533832,14318.713,14198.442,14206.103,14300.423,14334.406,14340.354,14293.978,14288.988,14354.158,14370.531,14207.81,14198.367
W110,6960.444873810912,7307.69,7396.85,7438.91,7519.81,7592.29,7571.98,7464.36,7484.2,7484.94,7528.27,7483.09,7522.26
W111,1209.1176126158093,1080.53,1078.63,1077.26,1084.46,1084.89,1082.71,1079.78,1076.06,1085.53,1084.67,1081.1,1074.27
W112,9347.856314720542,9520.42,9512.01,9471.4,9562.31,9488.15,9556.86,9534.86,9647.41,9594.13,9576.58,9662.18,9644.83
W113,921.5963441439764,766.1,766.27,714.66,682.99,700.3,763.74,747.68,742.31,717.41,712.44,734.81,726.45
W114,9324.261695095496,10370.99,10322.48,10331.1,10275.58,10318.71,10216.97,10282.47,10238.62,10071.88,10200.06,10227.22,10233.33
W115,9091.078793679162,11137.09,11088.75,11045.76,10958.57,11019.01,10980.71,11030.15,10980.93,10789.29,10912.5,10962.03,10959.78
W116,11842.132584483412,14894.1,13984.77,13907.03,14293.59,14685.26,15017.67,14100.07,14408.13,14676.51,15205.38,13875.72,14094.91
W117,6797.096976106565,7043.25,7026.12,7062.94,7075.16,7057.07,7064.06,7097.6,7249.93,7267.89,7328.08,7388.03,7480.86
W118,1707.1329455602627,1753.13,1739.954,1741.265,1752.962,1760.145,1746.934,1744.992,1750.66,1757.801,1746.75,1748.939,1752.358
W119,1248.0336495630247,1180.41,1140.58,1060.38,1154.44,1152.64,1175.8,1244.19,1225.38,1262.37,1332.13,1221.9,1270.41
W120,1115.5081086434311,989.28,916.28,889.25,943.99,943.1,996.81,1044.71,1069.8,1090.56,1126.05,1064.67,1106.98
W121,9134.953398747275,10496.016,10403.031,10399.53,10497.08,10528.68,10569.283,10488.464,10554.103,10585.971,10651.968,10589.396,10672.134
W122,666.116205482043,321.94,332.45,333.74,338.72,353.4,396.27,383.57,366.9,359.23,363.53,378.46,369.19
W123,614.9117835761061,431.45,435.3,432.77,440.92,454.74,497.32,484.31,473.21,461.88,466.64,483.21,471.99
W124,8095.5584257118035,8404.06,8370.62,8440.35,8445.77,8485.14,8424.83,8351.47,8365.51,8411.94,8472.83,8434.49,8421.44
W125,9087.438591547587,11218.64,10974.46,10771.82,10862.93,11054.22,11031.79,11089.91,11069.27,11163.08,11300.69,11152.85,11055.06
W126,9481.106723342931,9655.61,9565.969,9555.495,9652.503,9680.166,9726.8,9653.317,9717.552,9744.777,9804.685,9745.947,9829.99
W127,9091.212483635994,10918.46,10850.02,10756.78,10815.1,10764.33,10842.66,10886.6,10968.92,11026.69,11039.92,11213.69,11323.96
W128,3960.293275344524,3836.54,3603.72,3518.12,3731.7,3682.25,3703.91,3552.16,3731.15,3699.87,3741.75,3541.9,3452.87
W129,1142.7207359417328,1000.05,990.76,985.07,988.6,986.32,981.23,974.06,974.39,971.47,961.91,960.25,951.77
W130,7849.751325081526,8164.91,8155.02,8197.46,8121.84,8135.96,8115.75,8106.23,8078.34,8105.2,8077.74,8059.49,8032.97
W131,2210.486502223951,2166.713,2152.117,2152.923,2163.772,2170.279,2156.83,2153.923,2159.431,2164.374,2153.369,2154.844,2158.018
W132,20343.30108857089,22695.8,22873.78,22912.73,23157.6,23052.45,23109.41,23066.29,23133.89,22943.61,23070.07,23056.38,23135.75
W133,11640.773370025934,13943.084,13817.27,13799.658,13890.442,13929.041,13978.179,13895.258,13956.526,13983.295,14057.238,13958.295,14011.606
W134,9282.929428222438,12188.302,12057.06,12039.798,12138.491,12181.638,12230.64,12151.594,12222.102,12245.022,12316.353,12215.006,12262.678
W135,6190.89,6166.87,6248.29,6256.87,6346.31,6377.59,6382.05,6333.99,6350.53,6326.36,6362.01,6363.97,6432.69
W136,6384.629550911632,6492.9,6523.6,6596.4,6759.9,6701.7,6745.7,6721.2,6644.0,6667.8,6661.7,6458.5,6508.5
W137,6678.0532842720095,7071.44,7078.15,7037.05,7071.02,7029.9,7096.12,7087.92,7166.37,7130.38,7131.41,7203.06,7162.08
W138,661.3297006567174,396.14,404.7,363.68,322.02,328.5,392.13,382.78,364.21,339.84,334.59,363.64,337.18
W139,7051.115066878606,7763.08,7697.07,7691.19,7674.28,7754.88,7648.39,7689.17,7639.02,7478.78,7613.66,7563.24,7531.5
W140,7650.717439132851,8159.22,8101.77,8054.87,7996.3,8083.38,8040.52,8071.95,8003.23,7818.62,7948.25,7926.88,7868.68
W141,9145.458135072502,11241.17,10370.0,10322.61,10592.83,10873.84,11160.36,10316.67,10680.77,10809.59,11455.11,10315.26,10644.41
W142,5572.590675828948,5388.93,5368.95,5390.96,5401.97,5389.98,5392.11,5412.92,5525.45,5540.92,5580.59,5622.11,5684.54
W143,9074.700500384504,11419.08,11304.46,11312.03,11412.35,11481.37,11381.15,11365.37,11386.84,11445.25,11290.92,11301.3,11310.58
W144,1227.880982893816,1152.75,1113.19,1035.17,1124.86,1122.3,1147.56,1215.37,1191.06,1226.87,1298.58,1187.11,1237.65
W145,9165.714750744046,9654.6,8929.2,8681.6,9187.9,9169.4,9726.4,10199.3,10397.5,10589.6,10966.5,10340.4,10782.0
W146,6454.0118491302555,6826.213,6737.471,6733.834,6810.25,6824.878,6855.421,6783.048,6832.483,6856.145,6914.958,6859.368,6934.528
W147,678.2290546198665,117.59,111.32,110.66,110.46,111.68,120.32,117.41,125.32,121.24,112.52,122.99,118.27
W148,672.3071854984403,218.63,205.95,201.16,204.31,204.6,212.82,209.47,223.37,215.24,206.88,219.05,212.55
W149,4374.969,4342.37,4303.19,4370.16,4392.91,4423.87,4362.98,4303.89,4317.18,4359.9,4426.36,4381.17,4372.66
W150,7944.634050036252,8397.21,8157.4,7991.08,8073.41,8245.39,8235.18,8301.8,8245.5,8365.11,8466.19,8322.25,8219.59
W151,6181.230084282092,6391.976,6307.152,6296.818,6370.959,6382.491,6419.123,6352.659,6400.765,6420.155,6472.322,6421.251,6497.262
W152,8162.00525679969,8443.2,8390.94,8266.24,8299.13,8283.85,8356.8,8416.68,8466.06,8541.06,8572.49,8732.67,8749.33
W153,3242.4715709215025,3154.84,2945.55,2862.16,3032.25,2990.3,3001.65,2879.11,3049.37,2997.1,3046.23,2862.51,2802.91
W154,8123.309230929175,8597.8,8504.5,8468.7,8454.0,8415.0,8361.8,8296.2,8313.1,8300.7,8219.2,8228.2,8136.1
W155,4424.8923984853955,4591.74,4592.62,4636.82,4562.67,4572.28,4557.9,4538.75,4523.75,4521.02,4499.58,4485.14,4473.5
W156,5538.333778074947,5451.52,5443.07,5483.69,5408.07,5413.78,5394.08,5368.37,5355.06,5351.09,5321.5,5307.96,5287.11
W157,1488.3211253154388,1435.919,1422.959,1423.154,1432.548,1438.745,1428.38,1425.897,1427.808,1431.297,1415.852,1416.006,1416.477
W158,14151.12980027654,16545.69,16718.18,16774.2,16973.97,16859.12,16888.19,16801.33,16854.51,16677.41,16792.37,16756.94,16839.65
W159,9077.049079120252,9320.682,9198.628,9181.263,9248.034,9273.226,9311.038,9229.568,9282.625,9295.202,9366.068,9272.725,9316.549
W160,7824.255476112182,8112.114,7987.147,7969.756,8043.952,8072.951,8110.896,8034.681,8093.054,8099.825,8169.184,8075.646,8114.811
W161,9308.382235899944,12130.04,12220.91,12262.51,12368.93,12230.26,12271.89,12244.95,12279.44,12134.14,12219.63,12187.07,12201.34
W162,4598.171437101068,4415.65,4497.27,4511.69,4605.04,4628.86,4616.3,4556.38,4575.07,4543.27,4572.74,4569.87,4638.31
W163,3990.041581262876,3812.9,3801.8,3787.0,3826.0,3831.2,3817.2,3802.3,3799.9,3852.0,3840.2,3822.6,3798.4
W164,19312.98839198261,24489.8,24338.6,24343.5,24912.9,24582.5,24607.4,24469.4,24810.4,24637.5,24451.7,24591.2,24827.5
W165,3976.349315114509,3699.6,3615.7,3509.8,3609.7,3718.0,3716.1,3649.0,3781.0,3775.7,3778.5,3711.7,3892.7
W166,2441.6261322956534,2607.91,2625.41,2639.91,2601.3,2563.83,2568.58,2593.3,2599.6,2593.1,2586.4,2663.98,2701.83
W167,3226.9253611059644,2977.87,2986.98,2990.89,2962.27,2935.63,2940.19,2958.2,2977.7,2970.67,2964.25,3035.15,3091.1
W168,3989.538158871508,3652.93,3614.77,3584.42,3700.76,3811.42,3857.31,3783.4,3727.36,3866.92,3750.27,3560.46,3450.5
W169,1649.136,1654.32,1657.17,1671.98,1673.19,1667.09,1671.95,1684.68,1724.48,1726.97,1747.49,1765.92,1796.32
W170,3956.738730665968,3600.1,3605.11,3626.18,3631.12,3625.32,3631.86,3645.91,3674.92,3680.2,3698.89,3719.0,3754.53
W171,6033.117454945458,6112.22,6095.08,6100.62,6117.27,6120.08,6088.19,6084.55,6119.76,6132.76,6176.58,6188.09,6213.0
W172,3972.2143828388635,3669.803,3665.56,3665.696,3686.83,3703.802,3713.862,3705.416,3721.62,3729.826,3737.01,3730.028,3737.606
W173,4342.7143318934,3536.5,3504.4,3481.7,3684.6,3749.7,3684.8,4354.7,3618.1,4381.4,3985.8,3381.9,3209.2
W174,2574.36519664459,2821.43,2817.06,2780.74,2789.52,2808.83,2796.61,2788.11,2823.77,2797.97,2834.5,2830.6,2835.47
W175,3331.513578785167,3263.634,3258.817,3258.677,3281.544,3297.675,3307.677,3300.658,3316.787,3324.622,3332.363,3324.696,3332.728
W176,2313.2247679281786,2475.26,2459.08,2490.54,2515.97,2480.48,2485.86,2469.92,2502.86,2485.63,2467.43,2481.02,2574.63
W177,6478.877161014136,6817.0,6581.7,6559.6,6994.5,6919.5,7022.6,6730.5,6817.8,7027.7,6955.2,6793.9,6499.6
W178,1493.7242139546613,1402.7,1403.1,1382.0,1432.0,1448.2,1450.5,1444.4,1430.8,1414.0,1399.9,1374.3,1381.6
W179,2552.0784942416913,2713.39,2711.95,2713.77,2713.77,2722.18,2721.67,2737.86,2723.28,2754.11,2756.24,2751.53,2745.86
W180,6882.01919567113,7307.94,7291.58,7297.69,7312.24,7315.34,7284.5,7280.26,7316.23,7330.77,7375.17,7388.38,7415.41
W181,8885.105801844751,8863.5,8867.55,8852.3,8897.4,8915.51,8942.89,9002.82,9002.66,9020.31,9033.94,9050.97,9041.96
W182,1515.5870018755384,1376.8,1377.8,1382.1,1392.3,1392.1,1472.6,1476.2,1488.5,1487.9,1491.4,1494.2,1492.8
W183,6123.277735433227,6150.11,6155.6,6138.53,6183.63,6193.33,6221.22,6264.96,6279.38,6266.2,6277.7,6299.44,6296.1
W184,4625.840911778127,4622.402,4618.642,4618.395,4642.408,4655.815,4667.141,4665.69,4673.901,4688.093,4691.17,4685.57,4695.057
W185,4346.1254729327675,4076.188,4069.913,4070.042,4094.539,4108.687,4119.744,4116.913,4129.048,4145.197,4147.169,4139.36,4147.867
W186,1705.1051377495294,1751.22,1751.02,1745.18,1741.27,1748.73,1765.75,1777.61,1775.46,1783.09,1789.27,1794.1,1794.38
W187,1082.8525203773424,948.4,944.3,940.1,945.4,960.0,936.4,939.7,939.3,934.4,920.4,913.7,937.7
W188,2235.0,2247.0,2197.0,2225.0,2192.0,2240.0,2149.0,2191.0,2159.0,2176.0,2252.0,2201.0,2227.0
W189,2217.2274659622503,2141.0,2165.0,2108.0,2221.0,2365.0,2180.0,2244.0,2272.0,2246.0,2038.0,1965.0,2069.0
W190,630.7711965532667,460.7204403,453.8686316,441.8651676,445.577063,453.0822772,437.6623557,439.8819108,430.3451587,426.0420738,419.6364978,411.3800853,418.5663313
W191,6809.4640191154285,6711.3531,6879.4553,7031.4599,7280.6471,7287.6782,7199.4766,7075.0888,7495.1075,7853.2658,7738.1914,7432.3491,7384.1148
W192,1215.0311387088884,1165.783708,1130.218848,1144.012678,1116.237318,1143.744038,1056.720308,1119.294178,1064.618758,1048.372548,1135.591008,1105.256478,1120.579848
W193,5850.23183020167,5780.9284,5693.2279,5734.5912,5836.8002,5884.0807,5840.0028,5820.8905,5977.0669,6176.512,6055.0658,6023.6219,6056.9425
W194,483.26481,501.30087,495.69513,505.966605,490.018459,506.016419,506.059303,488.243623,494.494998,507.554868,508.900208,491.403635,498.588915
W195,1136.7303172951097,1007.22011,977.57691,956.13304,989.18684,978.19025,972.65437,932.85298,995.85932,965.36357,978.65649,978.76934,995.1377
W196,9543.693515538156,9985.4137,10293.6715,10359.0839,9848.4779,9843.3371,9851.5289,10083.1847,9901.8945,10063.8348,9912.0124,9947.1883,10295.3118
W197,3337.0630130570366,3535.511928,3464.898719,3501.769843,3412.296678,3438.179535,3346.9989,3340.722945,3385.474665,3372.953029,3373.89518,3370.010094,3361.798917
