V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D69,4038.8671999999992,3962.5,3942.5,3941.5,3955.0,3975.0,3877.5,3840.0,3800.0,3802.5,3790.0,3810.0,3780.0,3866.3
D70,4091.9595999999997,4075.0,4031.5,4031.5,4070.0,4040.0,4087.5,4025.0,3980.0,3930.0,3947.5,3955.0,3902.5,3918.0
D71,2545.8,2572.5,2577.6,2579.4,2608.0,2624.5,2631.7,2626.0,2629.3,2638.7,2652.3,2686.9,2687.9,2690.58
D72,2033.8436,1920.6,1907.8,1864.8,1874.7,1870.1,1892.1,1912.9,1915.2,1937.7,1935.8,1945.0,1957.1,1956.6
D73,1034.1921,1034.2,1041.7,1046.8,1045.0,1058.0,1063.0,1062.4,1065.0,1071.5,1066.5,1071.3,1077.4,1074.5
D74,1664.3167999999996,1670.4,1670.4,1670.4,1670.4,1670.4,1670.4,1670.4,1670.4,1670.4,1670.4,1670.4,1670.4,1563.46
D75,1673.4765,1657.1,1668.9,1679.7,1692.0,1690.6,1697.9,1681.7,1680.5,1694.8,1701.8,1699.0,1717.7,1698.19
D76,1743.5101999999997,1773.9,1789.5,1809.8,1810.5,1791.8,1779.1,1805.4,1793.5,1793.5,1793.5,1793.5,1793.5,1764.27
D77,1929.5,1928.7,1915.0,1940.0,1940.0,1937.0,1913.4,1905.3,1904.6,1917.5,1911.0,1944.4,1943.0,1945.62
D78,3010.473240000001,3155.2,3164.4,3197.7,3223.6,3229.6,3157.7,3155.6,3159.3,3173.2,3170.9,3181.1,3189.6,3160.71
D79,10003.0196,10008.0,10047.0,10088.0,10060.0,10190.0,10210.0,10198.0,10230.0,10299.0,10260.0,10311.0,10394.0,10375.0
D80,2488.3001200000012,2444.6,2465.9,2500.6,2498.1,2472.4,2447.9,2484.0,2472.5,2472.5,2472.5,2472.5,2472.5,2429.33
D81,1566.2,1581.5,1583.6,1584.0,1600.0,1611.8,1617.0,1611.6,1615.8,1624.4,1631.9,1651.6,1649.9,1650.32
D82,1100.7,1103.6,1100.8,1086.0,1083.5,1085.0,1100.8,1108.8,1109.5,1124.1,1132.2,1130.6,1137.0,1141.1
D83,2875.0,2892.5,2882.9,2796.5,2864.0,2852.8,2930.0,2948.4,2906.2,2965.2,2938.0,2957.0,2984.1,2926.9
D84,1685.80195,1703.6,1696.3,1706.7,1711.5,1717.6,1696.6,1684.9,1694.0,1702.3,1698.9,1707.3,1716.9,1719.93
D85,6259.371857800002,6218.0,6308.0,6303.8,6287.0,6272.9,6283.3,6295.4,6284.5,6279.3,6269.9,6266.6,6266.6,6266.6
D86,6979.3,6971.3,7030.5,7056.9,7071.1,7067.2,7046.4,7049.1,7099.0,7088.4,7076.1,7074.8,7074.8,7074.8
D87,2116.0,2108.0,2178.0,2138.0,2133.0,2096.0,2114.0,2157.0,2137.0,2169.0,2181.0,2196.0,2181.0,2155.0
D88,2107.9228,2176.0,2259.0,2219.0,2209.0,2168.0,2182.0,2228.0,2206.0,2246.0,2265.0,2275.0,2250.0,2215.0
D89,2099.3430000000003,2017.0,2067.0,2043.0,2026.0,2004.0,2029.0,2065.0,2050.0,2083.0,2098.0,2125.0,2115.0,2117.0
D90,2047.8042,2030.0,2073.0,2050.0,2029.0,2009.0,2037.0,2072.0,2060.0,2094.0,2110.0,2140.0,2128.0,2129.0
D91,2024.0,2021.0,2085.0,2054.0,2045.0,2018.0,2035.0,2072.0,2053.0,2086.0,2096.0,2121.0,2109.0,2107.0
D92,2049.0,2050.0,2087.0,2063.0,2040.0,2018.0,2048.0,2081.0,2070.0,2102.0,2119.0,2150.0,2138.0,2140.0
D93,2145.5777999999996,2223.0,2320.0,2280.0,2266.0,2215.0,2225.0,2271.0,2251.0,2298.0,2320.0,2324.0,2295.0,2257.0
D94,2126.0,2129.0,2149.0,2126.0,2096.0,2075.0,2112.0,2139.0,2129.0,2155.0,2175.0,2210.0,2197.0,2200.0
D95,2111.9378,2104.0,2128.0,2105.0,2078.0,2056.0,2091.0,2119.0,2108.0,2134.0,2153.0,2188.0,2175.0,2177.0
D96,2014.0,2014.0,2071.0,2045.0,2032.0,2007.0,2028.0,2065.0,2047.0,2081.0,2094.0,2121.0,2109.0,2110.0
D97,2074.0,2076.0,2108.0,2084.0,2058.0,2036.0,2070.0,2099.0,2089.0,2118.0,2136.0,2169.0,2157.0,2158.0
D98,1826.8,1792.1,1873.8,1819.8,1785.7,1744.1,1790.2,1830.8,1812.5,1858.6,1865.4,1868.7,1828.8,1790.9
D99,9975.7088,9931.2,9935.6,9988.8,10210.8,10227.1,10284.2,10326.3,10333.4,10178.7,10365.5,10347.6,10320.0,10330.6
D100,922.67,919.06,921.1,920.03,911.36,918.53,913.48,927.02,926.92,930.38,935.27,928.65,918.45,911.93
D101,12062.314000000002,12082.2,12330.2,12334.6,12283.6,12338.6,12581.7,12897.0,12736.4,12740.9,12669.3,12378.4,12466.6,12633.5
D102,1614.18,1634.73,1668.28,1668.88,1661.97,1669.42,1702.31,1744.97,1723.24,1723.85,1714.17,1674.8,1686.27,1708.85
D103,7221.0238,7311.2,7350.9,7339.5,7408.1,7412.0,7417.6,7406.6,7390.4,7304.8,7340.5,7300.8,7340.0,7318.5
D104,9226.1,9201.8,9022.2,8946.1,8922.6,8967.1,8979.2,9071.3,8983.4,8959.8,8950.2,8967.4,8929.7,8926.2
D105,11079.7,10920.5,10862.1,10853.2,10855.8,10923.7,10954.1,10945.9,10912.6,10924.8,10878.9,10874.4,10904.4,10936.6
D106,964.5497999999998,957.95,957.95,958.46,967.87,967.87,967.87,967.87,954.33,955.74,957.32,970.71,970.71,987.8
D107,951.2105999999995,950.5,950.5,951.0,960.34,960.34,960.34,960.34,946.9,948.3,949.87,963.16,963.16,980.11
D108,1319.99,1319.99,1319.99,1319.99,1325.67,1333.21,1333.21,1333.21,1333.21,1345.46,1335.41,1336.23,1336.82,1336.82
D109,1267.6270000000002,1266.88,1266.88,1266.88,1272.33,1279.57,1279.57,1279.57,1279.57,1291.33,1281.68,1282.47,1283.03,1283.03
D110,1338.16,1338.16,1338.16,1338.16,1343.92,1351.57,1351.57,1351.57,1351.57,1363.99,1353.79,1354.63,1355.22,1355.22
D111,9327.5,9333.8,9365.2,9356.6,9476.4,9436.1,9491.5,9527.5,9557.3,9463.7,9432.9,9442.4,9458.7,9447.7
D112,7001.074199999998,7051.1,7076.0,7069.5,7161.9,7131.5,7173.4,7200.6,7223.1,7152.4,7129.1,7137.5,7149.8,7141.5
D113,7548.7,7561.7,7588.0,7581.1,7679.7,7647.1,7691.9,7721.1,7745.2,7669.4,7644.5,7653.1,7666.3,7657.4
D114,6265.2,6143.0,6195.5,6558.6,6561.9,6646.0,6452.9,6447.1,6488.3,6754.9,6742.1,6733.3,6929.2,6942.5
D115,8141.1,8161.3,7861.1,8052.7,7899.1,8121.6,8132.7,8011.9,8106.5,7896.3,7914.7,7617.9,7681.8,7941.0
D116,7193.8,7053.4,7113.8,7530.7,7534.5,7631.0,7409.3,7402.7,7449.9,7756.1,7741.4,7731.2,7956.2,7971.5
D117,1327.3517000000002,1337.1,1337.1,1316.05,1315.63,1303.83,1299.17,1299.17,1271.57,1255.7,1266.81,1241.03,1241.03,1277.38
D118,9110.973399999999,9059.8,9150.6,9060.0,9049.3,9313.4,9430.4,9236.2,9010.0,8767.5,8792.5,8691.7,8850.6,8739.3
D119,8970.4,9002.2,9092.4,9002.4,8991.7,9254.2,9370.4,9177.5,8952.7,8711.8,8736.5,8636.4,8794.3,8683.7
D120,5246.0,5277.5,5310.9,5314.6,5354.0,5346.2,5370.4,5342.6,5333.2,5232.9,5285.6,5267.4,5299.3,5289.4
D121,6931.3,6962.1,7005.3,7005.6,7051.0,7040.6,7072.5,7034.9,7022.5,6890.5,6958.6,6933.8,6975.7,6962.7
D122,5653.11158,5655.6,5691.3,5694.3,5735.2,5726.8,5752.7,5722.8,5712.7,5605.3,5661.5,5641.8,5675.9,5665.4
D123,9404.8,9528.2,9532.5,9583.6,9796.5,9812.1,9867.0,9907.3,9914.1,9765.7,9944.9,9927.8,9901.3,9911.4
D124,1103.33,1117.81,1118.31,1124.3,1149.29,1151.12,1157.55,1162.28,1163.08,1145.67,1166.69,1164.69,1161.58,1162.77
D125,625.63,623.3,634.31,645.17,645.05,649.36,647.77,647.59,645.47,645.29,645.19,651.87,651.23,647.68
D126,956.46,956.46,964.56,966.13,958.21,949.52,949.52,949.74,947.85,949.39,982.37,982.37,962.7,960.64
D127,10852.541840000002,10750.3,10805.4,10819.6,10817.8,10841.3,10836.4,10933.5,10848.8,10972.3,10953.5,10964.6,11086.4,11087.2
D128,1880.0,1890.0,2050.0,2080.0,2100.0,2160.0,2170.0,2190.0,2200.0,2110.0,2090.0,2080.0,2080.0,2100.0
D129,11800.0,11700.0,14200.0,14200.0,13800.0,14400.0,13200.0,13000.0,12900.0,11700.0,11200.0,10600.0,10400.0,10100.0
D130,5670.7845,5724.9035,5447.6307,5359.9761,5343.6734,5597.2838,5559.4892,5468.7955,5343.6223,5509.8684,5520.309,5572.1625,5612.5263,5355.5576
D131,11000.0,11000.0,11000.0,11000.0,12000.0,12000.0,12000.0,10000.0,10000.0,10000.0,11000.0,11000.0,11000.0,11000.0
D132,11068.332,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,10000.0,10000.0,11000.0,11500.0,11500.0,11500.0
D133,8000.0,8000.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,8500.0,8500.0,9500.0,9500.0,9500.0
D134,800.0,800.0,800.0,800.0,800.0,800.0,800.0,600.0,600.0,600.0,600.0,600.0,600.0,5400.0
D135,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,7000.0,7000.0,7000.0,7000.0,7000.0,5500.0,8000.0,8000.0
D136,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2500.0,2500.0,2500.0,2500.0,2500.0,1500.0,2000.0
D137,2900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,5400.0
D138,2922.3684600000015,3000.0,3000.0,3000.0,3000.0,3000.0,4000.0,4000.0,4000.0,4500.0,4500.0,4500.0,4500.0,4500.0
D139,7000.0,7000.0,7000.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,5000.0,5000.0,7000.0,7000.0
D140,4626.864700000001,4500.0,4500.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,2500.0,3000.0,3000.0,3000.0
D141,1157.6,1153.64,1161.51,1165.57,1164.17,1167.82,1179.56,1182.69,1182.88,1178.99,1175.02,1176.9,1178.84,1173.23
D142,1262.72,1258.51,1267.17,1271.67,1270.26,1274.74,1288.89,1292.31,1292.51,1288.26,1285.11,1287.82,1290.28,1284.66
D143,1229.70255,1235.26,1243.74,1248.14,1246.72,1251.04,1264.53,1267.88,1268.08,1263.91,1260.58,1263.1,1265.42,1259.7
D144,6384.3565289,6377.2,6426.8,6441.5,6438.1,6541.5,6466.8,6503.2,6457.2,6548.8,6575.8,6559.7,6585.6,6553.3
D145,8005.6378,7995.7,8059.6,8080.8,8076.6,8206.5,8115.0,8160.7,8103.0,8218.0,8251.9,8231.6,8264.2,8223.6
D146,701.9228000000002,375.28,373.0,380.15,366.91,366.17,358.24,360.89,360.52,356.75,349.22,358.27,360.52,356.73
D147,563.95,566.55,574.9,569.76,569.43,552.85,549.01,525.12,525.06,534.48,521.86,516.01,529.71,532.09
D148,12277.538,12474.9,12507.4,12632.9,12665.1,12198.7,12057.6,12040.5,11993.9,11987.8,11896.5,12121.3,12120.6,12190.7
D149,10077.5,9790.7,9632.8,9435.7,9579.8,9350.1,9387.3,9435.0,9695.1,9735.8,9612.5,9715.4,9717.5,9871.0
D150,1545.0906999999997,1516.7,1519.6,1526.2,1518.9,1521.4,1526.1,1523.1,1522.7,1509.4,1500.0,1516.6,1513.5,1507.1
D151,6360.286445,6374.100748,6386.281861,6414.04862,6384.171532,6392.321187,6412.969304,6400.170588,6398.587309,6342.787691,6303.154564,6372.782224,6360.744119,6333.904565
D152,7316.0,7275.9,7190.8,7215.8,7180.8,7160.7,7165.7,7230.8,7316.0,7260.9,7130.7,7195.8,7200.8,7185.8
D153,10222.831859999998,10364.3,10243.0,10278.7,10228.7,10200.2,10207.3,10300.1,10421.3,10342.9,10157.4,10250.1,10257.3,10235.9
D154,10061.2,9913.6,10031.7,10237.6,10787.6,10632.6,10698.0,10662.1,10704.5,10703.6,10911.6,10869.1,10903.4,10995.5
D155,13447.1,13374.4,13499.5,13313.4,13267.6,13299.3,13288.7,13277.1,13223.9,13091.0,13038.4,13178.8,13267.4,13232.7
D156,20035.9,19977.5,19618.3,19815.9,19856.3,20085.3,19654.2,19860.8,19375.8,19313.0,18926.8,19681.2,19209.7,19034.6
D157,18539.998000000007,25120.5,25045.9,25063.1,24839.6,25103.3,25430.0,25424.3,25447.2,25395.6,25137.7,25103.3,25137.7,25281.0
D158,1226.6839000000002,1236.78,1233.2,1242.12,1251.36,1273.3,1280.98,1286.25,1281.91,1250.7,1246.16,1259.34,1259.19,1240.06
D159,7122.231200000001,7191.6,7090.2,7141.6,7036.0,6998.4,6937.9,6989.7,7108.9,7100.4,6963.7,6811.0,6683.6,6626.2
D160,13685.6,13741.3,13741.3,13685.6,13615.0,13670.8,13670.8,13615.0,13733.6,13677.8,1816.7,1816.7,1821.9,1821.9
D161,18692.504000000004,22230.5,22264.9,22355.6,22264.9,22355.6,22355.6,22264.9,22150.1,22240.8,22240.8,22150.1,22342.9,22252.3
D162,20653.1,20557.1,20634.1,20764.2,20746.5,20722.5,21106.5,21212.6,21242.9,21236.6,21501.9,21424.8,21572.6,21561.2
D163,17511.8,17547.7,17615.5,17656.2,17747.2,17751.1,17615.5,17683.3,17769.5,17742.4,17823.8,17701.7,17842.2,17805.4
D164,9917.081199999999,9853.2,9853.2,9771.5,9771.5,9853.2,9771.5,9771.5,9771.5,9771.5,9689.8,9689.8,9771.5,9689.8
D165,10425.239979999998,10520.9,10520.9,10433.7,10433.7,10520.9,10433.7,10433.7,10433.7,10433.7,10346.4,10346.4,10433.7,10346.4
D166,3553.0,3629.0,3699.0,3699.0,4399.0,4399.0,4399.0,4525.0,4525.0,4525.0,4525.0,4525.0,4525.0,4525.0
D167,6405.0,7164.0,7631.0,8031.0,8131.0,8281.0,8281.0,8906.0,9256.0,9256.0,9256.0,9256.0,9256.0,9256.0
D168,1153.75,1152.1875,1142.5,1148.4375,1145.625,1152.1875,1163.5938,1144.0625,1132.5,1142.8125,1136.5625,1149.0625,1154.6875,1152.5
D169,1145.625,1152.1875,1163.5938,1144.0625,1132.5,1142.8125,1136.5625,1149.0625,1154.6875,1140.4688,1137.0312,1122.5,1122.5,1122.5
D170,8762.866,8728.12,8837.5,8818.75,8768.75,8862.5,8831.25,8834.38,8865.62,9037.5,9000.0,8865.62,8756.25,8756.25
D171,8790.62,8812.5,8837.5,8818.75,8871.88,8862.5,8878.12,8887.5,9068.75,9050.0,9000.0,8868.75,8778.12,8809.38
D172,8726.056700000001,8718.75,8768.75,8756.25,8759.38,8815.62,8825.0,8834.38,8853.12,8996.88,8862.5,8728.12,8712.5,8718.75
D173,8772.450700000001,8809.38,8818.75,8768.75,8862.5,8828.12,8840.62,8859.38,9050.0,9003.12,8875.0,8759.38,8771.88,8721.88
D174,1045.62,1040.62,1029.38,1029.38,1031.56,1023.44,1010.94,1003.44,1003.44,1001.25,999.688,990.0,998.125,1003.44
D175,1040.94,1030.0,1029.06,1030.94,1025.31,1008.75,1000.62,1000.31,1000.62,1003.44,989.688,997.812,1002.81,1002.5
D176,10231.2,9965.62,9959.38,9828.12,9765.62,9790.62,9787.5,9684.38,9687.5,9584.38,9600.0,9653.12,9684.38,9446.88
D177,10015.6,9821.88,9840.62,9715.62,9650.0,9718.75,9731.25,9506.25,9418.75,9521.88,9484.38,9584.38,9459.38,9300.0
D178,10021.9,9890.62,9896.88,9737.5,9675.0,9756.25,9765.62,9546.88,9468.75,9565.62,9571.88,9634.38,9468.75,9375.0
D179,6296.844444500002,6193.75,6159.38,6140.62,6140.62,6131.25,6153.12,6181.25,6131.25,6043.75,6075.0,6000.0,5984.38,5918.75
D180,6312.016800000001,6215.62,6159.38,6184.38,6165.62,6178.12,6165.62,6215.62,6137.5,6087.5,6081.25,6006.25,6000.0,5975.0
D181,6162.5,6131.25,6109.38,6096.88,6125.0,6112.5,6134.38,6181.25,6056.25,6043.75,6040.62,5953.12,5925.0,5903.12
D182,6184.38,6162.5,6128.12,6156.25,6131.25,6171.88,6137.5,6196.88,6062.5,6075.0,6053.12,5987.5,5931.25,5975.0
D183,10101.90608,10137.5,10106.2,10140.6,10012.5,10062.5,10015.6,10068.8,9950.0,9925.0,10018.8,10031.2,10081.2,10034.4
D184,10106.19808,10162.5,10193.8,10146.9,10056.2,10078.1,10100.0,10075.0,10028.1,9984.38,10056.2,10050.0,10090.6,10081.2
D185,9953.12,10103.1,10096.9,9968.75,9925.0,10012.5,10003.1,9956.25,9921.88,9884.38,9993.75,10006.2,10025.0,10018.8
D186,10096.649939999998,10109.4,10162.5,9978.12,10053.1,10034.4,10093.8,9975.0,9984.38,9978.12,10015.6,10028.1,10037.5,10068.8
D187,9700.0,9621.88,9768.75,9612.5,9640.62,9506.25,9709.38,9809.38,9815.62,9703.12,9837.5,9803.12,9756.25,9700.0
D188,9400.0,9437.5,9615.62,9368.75,9403.12,9300.0,9531.25,9718.75,9684.38,9571.88,9681.25,9665.62,9575.0,9600.0
